hunt_code,open_date,close_date,bag_limit_description,notes
D-M-129-L1-R,2026-12-01,2027-01-31,Deer Buck/Bull,Late Season; List R
D-M-131-O2-R,2026-10-24,2026-11-01,Deer Buck/Bull,Second Rifle; List R
D-M-131-O3-R,2026-11-07,2026-11-15,Deer Buck/Bull,Third Rifle; List R
D-M-135-O1-R,2026-09-02,2026-09-30,Deer Buck/Bull,Archery; List R
D-M-136-L1-R,2026-12-01,2027-01-31,Deer Buck/Bull,Late Season; List R
D-M-136-O1-R,2026-09-02,2026-09-30,Deer Buck/Bull,Archery; List R
D-M-136-W2-R,2026-10-24,2026-11-01,Deer Buck/Bull,Second Rifle; List R
D-M-137-L1-R,2026-12-01,2027-01-31,Deer Buck/Bull,Late Season; List R
D-M-137-O2-M,2026-10-24,2026-11-01,Deer Buck/Bull,Second Rifle; List M
D-M-139-O1-R,2026-09-02,2026-09-30,Deer Buck/Bull,Archery; List R
D-M-140-O1-A,2026-09-02,2026-09-30,Deer Buck/Bull,Archery; List A
D-M-140-O1-M,2026-09-02,2026-09-30,Deer Buck/Bull,Archery; List M
D-M-140-O4-R,2026-11-18,2026-11-22,Deer Buck/Bull,Fourth Rifle; List R
D-M-141-L1-R,2026-12-01,2027-01-31,Deer Buck/Bull,Late Season; List R
D-M-142-L1-R,2026-12-01,2027-01-31,Deer Buck/Bull,Late Season; List R
D-M-142-O2-M,2026-10-24,2026-11-01,Deer Buck/Bull,Second Rifle; List M
D-M-161-E1-R,2026-09-12,2026-09-20,Deer Buck/Bull,Muzzleloader; List R
D-M-161-O1-R,2026-09-02,2026-09-30,Deer Buck/Bull,Archery; List R
D-M-161-O2-R,2026-10-24,2026-11-01,Deer Buck/Bull,Second Rifle; List R
D-M-161-O3-R,2026-11-07,2026-11-15,Deer Buck/Bull,Third Rifle; List R
D-M-171-E1-R,2026-09-12,2026-09-20,Deer Buck/Bull,Muzzleloader; List R
D-M-171-O1-R,2026-09-02,2026-09-30,Deer Buck/Bull,Archery; List R
D-M-171-O2-R,2026-10-24,2026-11-01,Deer Buck/Bull,Second Rifle; List R
D-M-171-O3-R,2026-11-07,2026-11-15,Deer Buck/Bull,Third Rifle; List R
D-M-201-O1-A,2026-09-02,2026-09-30,Deer Buck/Bull,Archery; List A
D-M-201-O1-M,2026-09-02,2026-09-30,Deer Buck/Bull,Archery; List M
D-M-201-O2-R,2026-10-24,2026-11-01,Deer Buck/Bull,Second Rifle; List R
D-M-201-O3-R,2026-11-07,2026-11-15,Deer Buck/Bull,Third Rifle; List R
D-M-201-O4-R,2026-11-18,2026-11-22,Deer Buck/Bull,Fourth Rifle; List R
D-M-301-W1-R,2026-10-14,2026-10-18,Deer Buck/Bull,First Rifle; List R
D-M-301-W2-R,2026-10-24,2026-11-01,Deer Buck/Bull,Second Rifle; List R
D-M-444-O1-M,2026-09-02,2026-09-30,Deer Buck/Bull,Archery; List M
D-M-471-E1-R,2026-09-12,2026-09-20,Deer Buck/Bull,Muzzleloader; List R
D-M-501-O4-R,2026-11-18,2026-11-22,Deer Buck/Bull,Fourth Rifle; List R
D-M-551-O1-A,2026-09-02,2026-09-30,Deer Buck/Bull,Archery; List A
D-M-551-O1-M,2026-09-02,2026-09-30,Deer Buck/Bull,Archery; List M
D-M-551-O4-R,2026-11-18,2026-11-22,Deer Buck/Bull,Fourth Rifle; List R
D-M-741-O1-M,2026-09-02,2026-09-30,Deer Buck/Bull,Archery; List M
D-M-741-P2-R,2026-10-24,2026-11-01,Deer Buck/Bull,Second Rifle; List R
D-M-741-P4-R,2026-11-18,2026-11-22,Deer Buck/Bull,Fourth Rifle; List R
D-M-851-O1-A,2026-09-02,2026-09-30,Deer Buck/Bull,Archery; List A
D-M-851-O1-M,2026-09-02,2026-09-30,Deer Buck/Bull,Archery; List M
D-M-851-O1-R,2026-09-02,2026-09-30,Deer Buck/Bull,Archery; List R
D-M-851-O2-R,2026-10-24,2026-11-01,Deer Buck/Bull,Second Rifle; List R
D-M-851-W1-R,2026-10-14,2026-10-18,Deer Buck/Bull,First Rifle; List R
D-M-851-W2-R,2026-10-24,2026-11-01,Deer Buck/Bull,Second Rifle; List R
D-M-951-L1-R,2026-12-01,2027-01-31,Deer Buck/Bull,Late Season; List R
E-E-001-E1-R,2026-09-12,2026-09-20,Elk Either Sex,Muzzleloader; List R
E-E-001-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-002-E1-R,2026-09-12,2026-09-20,Elk Either Sex,Muzzleloader; List R
E-E-002-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-003-O1-M,2026-09-02,2026-09-30,Elk Either Sex,Archery; List M
E-E-003-O1-R,2026-09-02,2026-09-30,Elk Either Sex,Archery; List R
E-E-003-O4-R,2026-11-18,2026-11-22,Elk Either Sex,Fourth Rifle; List R
E-E-003-W1-R,2026-10-14,2026-10-18,Elk Either Sex,First Rifle; List R
E-E-003-W3-R,2026-11-07,2026-11-15,Elk Either Sex,Third Rifle; List R
E-E-004-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-004-O4-R,2026-11-18,2026-11-22,Elk Either Sex,Fourth Rifle; List R
E-E-004-W1-R,2026-10-14,2026-10-18,Elk Either Sex,First Rifle; List R
E-E-005-O4-R,2026-11-18,2026-11-22,Elk Either Sex,Fourth Rifle; List R
E-E-005-W1-R,2026-10-14,2026-10-18,Elk Either Sex,First Rifle; List R
E-E-005-W2-R,2026-10-24,2026-11-01,Elk Either Sex,Second Rifle; List R
E-E-006-O1-M,2026-09-02,2026-09-30,Elk Either Sex,Archery; List M
E-E-006-O1-R,2026-09-02,2026-09-30,Elk Either Sex,Archery; List R
E-E-006-O4-R,2026-11-18,2026-11-22,Elk Either Sex,Fourth Rifle; List R
E-E-006-W1-R,2026-10-14,2026-10-18,Elk Either Sex,First Rifle; List R
E-E-007-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-010-E1-R,2026-09-12,2026-09-20,Elk Either Sex,Muzzleloader; List R
E-E-010-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-010-W1-R,2026-10-14,2026-10-18,Elk Either Sex,First Rifle; List R
E-E-011-O1-M,2026-09-02,2026-09-30,Elk Either Sex,Archery; List M
E-E-011-W1-R,2026-10-14,2026-10-18,Elk Either Sex,First Rifle; List R
E-E-011-W2-R,2026-10-24,2026-11-01,Elk Either Sex,Second Rifle; List R
E-E-011-W4-R,2026-11-18,2026-11-22,Elk Either Sex,Fourth Rifle; List R
E-E-012-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-012-O1-M,2026-09-02,2026-09-30,Elk Either Sex,Archery; List M
E-E-014-O1-M,2026-09-02,2026-09-30,Elk Either Sex,Archery; List M
E-E-015-O1-M,2026-09-02,2026-09-30,Elk Either Sex,Archery; List M
E-E-015-O1-R,2026-09-02,2026-09-30,Elk Either Sex,Archery; List R
E-E-015-O4-R,2026-11-18,2026-11-22,Elk Either Sex,Fourth Rifle; List R
E-E-015-P2-R,2026-10-24,2026-11-01,Elk Either Sex,Second Rifle; List R
E-E-015-P3-R,2026-11-07,2026-11-15,Elk Either Sex,Third Rifle; List R
E-E-015-P4-R,2026-11-18,2026-11-22,Elk Either Sex,Fourth Rifle; List R
E-E-016-O4-R,2026-11-18,2026-11-22,Elk Either Sex,Fourth Rifle; List R
E-E-018-O1-M,2026-09-02,2026-09-30,Elk Either Sex,Archery; List M
E-E-018-O1-R,2026-09-02,2026-09-30,Elk Either Sex,Archery; List R
E-E-018-O4-R,2026-11-18,2026-11-22,Elk Either Sex,Fourth Rifle; List R
E-E-018-P4-R,2026-11-18,2026-11-22,Elk Either Sex,Fourth Rifle; List R
E-E-020-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-021-O1-M,2026-09-02,2026-09-30,Elk Either Sex,Archery; List M
E-E-021-O1-R,2026-09-02,2026-09-30,Elk Either Sex,Archery; List R
E-E-021-O4-R,2026-11-18,2026-11-22,Elk Either Sex,Fourth Rifle; List R
E-E-023-W1-R,2026-10-14,2026-10-18,Elk Either Sex,First Rifle; List R
E-E-025-O1-M,2026-09-02,2026-09-30,Elk Either Sex,Archery; List M
E-E-025-W1-R,2026-10-14,2026-10-18,Elk Either Sex,First Rifle; List R
E-E-027-O1-R,2026-09-02,2026-09-30,Elk Either Sex,Archery; List R
E-E-027-O4-R,2026-11-18,2026-11-22,Elk Either Sex,Fourth Rifle; List R
E-E-027-P4-R,2026-11-18,2026-11-22,Elk Either Sex,Fourth Rifle; List R
E-E-028-O1-M,2026-09-02,2026-09-30,Elk Either Sex,Archery; List M
E-E-028-O1-R,2026-09-02,2026-09-30,Elk Either Sex,Archery; List R
E-E-028-P4-R,2026-11-18,2026-11-22,Elk Either Sex,Fourth Rifle; List R
E-E-029-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-033-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-033-P4-R,2026-11-18,2026-11-22,Elk Either Sex,Fourth Rifle; List R
E-E-035-O1-R,2026-09-02,2026-09-30,Elk Either Sex,Archery; List R
E-E-035-O4-R,2026-11-18,2026-11-22,Elk Either Sex,Fourth Rifle; List R
E-E-036-O4-R,2026-11-18,2026-11-22,Elk Either Sex,Fourth Rifle; List R
E-E-039-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-040-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-040-O1-M,2026-09-02,2026-09-30,Elk Either Sex,Archery; List M
E-E-040-O1-R,2026-09-02,2026-09-30,Elk Either Sex,Archery; List R
E-E-040-O2-R,2026-10-24,2026-11-01,Elk Either Sex,Second Rifle; List R
E-E-040-O3-R,2026-11-07,2026-11-15,Elk Either Sex,Third Rifle; List R
E-E-040-O4-R,2026-11-18,2026-11-22,Elk Either Sex,Fourth Rifle; List R
E-E-040-W1-R,2026-10-14,2026-10-18,Elk Either Sex,First Rifle; List R
E-E-041-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-041-P4-R,2026-11-18,2026-11-22,Elk Either Sex,Fourth Rifle; List R
E-E-043-O1-R,2026-09-02,2026-09-30,Elk Either Sex,Archery; List R
E-E-043-O4-R,2026-11-18,2026-11-22,Elk Either Sex,Fourth Rifle; List R
E-E-044-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-046-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-048-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-049-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-050-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-051-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-052-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-053-P4-R,2026-11-18,2026-11-22,Elk Either Sex,Fourth Rifle; List R
E-E-054-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-055-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-056-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-057-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-060-O4-R,2026-11-18,2026-11-22,Elk Either Sex,Fourth Rifle; List R
E-E-060-P4-R,2026-11-18,2026-11-22,Elk Either Sex,Fourth Rifle; List R
E-E-061-E1-R,2026-09-12,2026-09-20,Elk Either Sex,Muzzleloader; List R
E-E-061-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-062-O4-R,2026-11-18,2026-11-22,Elk Either Sex,Fourth Rifle; List R
E-E-062-P4-R,2026-11-18,2026-11-22,Elk Either Sex,Fourth Rifle; List R
E-E-064-O1-R,2026-09-02,2026-09-30,Elk Either Sex,Archery; List R
E-E-064-P4-R,2026-11-18,2026-11-22,Elk Either Sex,Fourth Rifle; List R
E-E-066-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-067-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-069-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-076-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-080-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-082-O1-M,2026-09-02,2026-09-30,Elk Either Sex,Archery; List M
E-E-083-O1-M,2026-09-02,2026-09-30,Elk Either Sex,Archery; List M
E-E-083-O1-R,2026-09-02,2026-09-30,Elk Either Sex,Archery; List R
E-E-083-O2-R,2026-10-24,2026-11-01,Elk Either Sex,Second Rifle; List R
E-E-083-O3-R,2026-11-07,2026-11-15,Elk Either Sex,Third Rifle; List R
E-E-083-O4-R,2026-11-18,2026-11-22,Elk Either Sex,Fourth Rifle; List R
E-E-084-W1-R,2026-10-14,2026-10-18,Elk Either Sex,First Rifle; List R
E-E-084-W2-R,2026-10-24,2026-11-01,Elk Either Sex,Second Rifle; List R
E-E-085-O1-M,2026-09-02,2026-09-30,Elk Either Sex,Archery; List M
E-E-085-O1-R,2026-09-02,2026-09-30,Elk Either Sex,Archery; List R
E-E-085-O4-R,2026-11-18,2026-11-22,Elk Either Sex,Fourth Rifle; List R
E-E-085-W1-R,2026-10-14,2026-10-18,Elk Either Sex,First Rifle; List R
E-E-086-O1-M,2026-09-02,2026-09-30,Elk Either Sex,Archery; List M
E-E-086-O4-R,2026-11-18,2026-11-22,Elk Either Sex,Fourth Rifle; List R
E-E-087-U1-A,2026-09-02,2026-09-30,Elk Either Sex,OTC Archery; List A
E-E-104-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-104-W1-R,2026-10-14,2026-10-18,Elk Either Sex,First Rifle; List R
E-E-128-O1-M,2026-09-02,2026-09-30,Elk Either Sex,Archery; List M
E-E-133-O1-M,2026-09-02,2026-09-30,Elk Either Sex,Archery; List M
E-E-161-O4-R,2026-11-18,2026-11-22,Elk Either Sex,Fourth Rifle; List R
E-E-171-O4-R,2026-11-18,2026-11-22,Elk Either Sex,Fourth Rifle; List R
E-E-201-E1-R,2026-09-12,2026-09-20,Elk Either Sex,Muzzleloader; List R
E-E-201-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-211-W1-R,2026-10-14,2026-10-18,Elk Either Sex,First Rifle; List R
E-E-214-W1-R,2026-10-14,2026-10-18,Elk Either Sex,First Rifle; List R
E-E-231-P2-R,2026-10-24,2026-11-01,Elk Either Sex,Second Rifle; List R
E-E-231-P3-R,2026-11-07,2026-11-15,Elk Either Sex,Third Rifle; List R
E-E-231-P4-R,2026-11-18,2026-11-22,Elk Either Sex,Fourth Rifle; List R
E-E-301-W1-R,2026-10-14,2026-10-18,Elk Either Sex,First Rifle; List R
E-E-301-W2-R,2026-10-24,2026-11-01,Elk Either Sex,Second Rifle; List R
E-E-371-O4-R,2026-11-18,2026-11-22,Elk Either Sex,Fourth Rifle; List R
E-E-391-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-441-W1-R,2026-10-14,2026-10-18,Elk Either Sex,First Rifle; List R
E-E-461-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-481-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-500-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-501-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-521-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-551-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-561-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-851-O1-A,2026-09-02,2026-09-30,Elk Either Sex,Archery; List A
E-E-851-W1-R,2026-10-14,2026-10-18,Elk Either Sex,First Rifle; List R
E-E-851-W2-R,2026-10-24,2026-11-01,Elk Either Sex,Second Rifle; List R
E-F-001-L1-R,2026-12-01,2027-01-31,Elk Doe/Cow,Late Season; List R
E-F-001-O1-M,2026-09-02,2026-09-30,Elk Doe/Cow,Archery; List M
E-F-001-O1-R,2026-09-02,2026-09-30,Elk Doe/Cow,Archery; List R
E-F-001-O2-R,2026-10-24,2026-11-01,Elk Doe/Cow,Second Rifle; List R
E-F-001-O3-R,2026-11-07,2026-11-15,Elk Doe/Cow,Third Rifle; List R
E-F-001-O4-R,2026-11-18,2026-11-22,Elk Doe/Cow,Fourth Rifle; List R
E-F-002-L1-R,2026-12-01,2027-01-31,Elk Doe/Cow,Late Season; List R
E-F-002-O1-M,2026-09-02,2026-09-30,Elk Doe/Cow,Archery; List M
E-F-002-O1-R,2026-09-02,2026-09-30,Elk Doe/Cow,Archery; List R
E-F-002-O2-R,2026-10-24,2026-11-01,Elk Doe/Cow,Second Rifle; List R
E-F-002-O3-R,2026-11-07,2026-11-15,Elk Doe/Cow,Third Rifle; List R
E-F-002-O4-R,2026-11-18,2026-11-22,Elk Doe/Cow,Fourth Rifle; List R
E-F-003-L1-R,2026-12-01,2027-01-31,Elk Doe/Cow,Late Season; List R
E-F-003-O1-M,2026-09-02,2026-09-30,Elk Doe/Cow,Archery; List M
E-F-003-O1-R,2026-09-02,2026-09-30,Elk Doe/Cow,Archery; List R
E-F-003-O2-R,2026-10-24,2026-11-01,Elk Doe/Cow,Second Rifle; List R
E-F-003-O3-R,2026-11-07,2026-11-15,Elk Doe/Cow,Third Rifle; List R
E-F-003-O4-R,2026-11-18,2026-11-22,Elk Doe/Cow,Fourth Rifle; List R
E-F-003-W1-R,2026-10-14,2026-10-18,Elk Doe/Cow,First Rifle; List R
E-F-003-W3-R,2026-11-07,2026-11-15,Elk Doe/Cow,Third Rifle; List R
E-F-004-O2-R,2026-10-24,2026-11-01,Elk Doe/Cow,Second Rifle; List R
E-F-004-O3-R,2026-11-07,2026-11-15,Elk Doe/Cow,Third Rifle; List R
E-F-004-W3-R,2026-11-07,2026-11-15,Elk Doe/Cow,Third Rifle; List R
E-F-005-O2-R,2026-10-24,2026-11-01,Elk Doe/Cow,Second Rifle; List R
E-F-005-O3-R,2026-11-07,2026-11-15,Elk Doe/Cow,Third Rifle; List R
E-F-005-W1-R,2026-10-14,2026-10-18,Elk Doe/Cow,First Rifle; List R
E-F-005-W2-R,2026-10-24,2026-11-01,Elk Doe/Cow,Second Rifle; List R
E-F-005-W3-R,2026-11-07,2026-11-15,Elk Doe/Cow,Third Rifle; List R
E-F-005-W4-R,2026-11-18,2026-11-22,Elk Doe/Cow,Fourth Rifle; List R
E-F-006-O1-M,2026-09-02,2026-09-30,Elk Doe/Cow,Archery; List M
E-F-006-O1-R,2026-09-02,2026-09-30,Elk Doe/Cow,Archery; List R
E-F-006-O2-R,2026-10-24,2026-11-01,Elk Doe/Cow,Second Rifle; List R
E-F-006-O3-R,2026-11-07,2026-11-15,Elk Doe/Cow,Third Rifle; List R
E-F-006-O4-R,2026-11-18,2026-11-22,Elk Doe/Cow,Fourth Rifle; List R
E-F-006-W3-R,2026-11-07,2026-11-15,Elk Doe/Cow,Third Rifle; List R
E-F-006-W4-R,2026-11-18,2026-11-22,Elk Doe/Cow,Fourth Rifle; List R
E-F-007-L1-R,2026-12-01,2027-01-31,Elk Doe/Cow,Late Season; List R
E-F-007-O1-M,2026-09-02,2026-09-30,Elk Doe/Cow,Archery; List M
E-F-007-O2-R,2026-10-24,2026-11-01,Elk Doe/Cow,Second Rifle; List R
E-F-007-O4-R,2026-11-18,2026-11-22,Elk Doe/Cow,Fourth Rifle; List R
E-F-009-L1-R,2026-12-01,2027-01-31,Elk Doe/Cow,Late Season; List R
E-F-010-L1-R,2026-12-01,2027-01-31,Elk Doe/Cow,Late Season; List R
E-F-010-O1-M,2026-09-02,2026-09-30,Elk Doe/Cow,Archery; List M
E-F-010-O3-R,2026-11-07,2026-11-15,Elk Doe/Cow,Third Rifle; List R
E-F-010-O4-R,2026-11-18,2026-11-22,Elk Doe/Cow,Fourth Rifle; List R
E-F-010-W1-R,2026-10-14,2026-10-18,Elk Doe/Cow,First Rifle; List R
E-F-011-L1-R,2026-12-01,2027-01-31,Elk Doe/Cow,Late Season; List R
E-F-011-O1-M,2026-09-02,2026-09-30,Elk Doe/Cow,Archery; List M
E-F-011-O1-R,2026-09-02,2026-09-30,Elk Doe/Cow,Archery; List R
E-F-011-O2-R,2026-10-24,2026-11-01,Elk Doe/Cow,Second Rifle; List R
E-F-011-O3-R,2026-11-07,2026-11-15,Elk Doe/Cow,Third Rifle; List R
E-F-011-O4-R,2026-11-18,2026-11-22,Elk Doe/Cow,Fourth Rifle; List R
E-F-011-W1-R,2026-10-14,2026-10-18,Elk Doe/Cow,First Rifle; List R
E-F-011-W2-R,2026-10-24,2026-11-01,Elk Doe/Cow,Second Rifle; List R
E-F-011-W3-R,2026-11-07,2026-11-15,Elk Doe/Cow,Third Rifle; List R
E-F-011-W4-R,2026-11-18,2026-11-22,Elk Doe/Cow,Fourth Rifle; List R
E-F-012-O1-M,2026-09-02,2026-09-30,Elk Doe/Cow,Archery; List M
