Take Method,Unit,Harvest,Hunters,Success%,Days,Antlered,Antlerless,%4+Pts,%5+Pts,%Whitetail,Year
Any Weapon,1,2791,7034,40,46260,1984,808,56,20,94,2024
Archery,1,95,633,15,4344,64,31,0,32,97,2024
Muzzleloader,1,9,76,12,299,8,2,100,0,69,2024
All Weapons Combined,1,2896,7743,37,50904,2055,841,56,20,94,2024
Any Weapon,2,1266,3367,38,22561,891,375,0,16,100,2024
Archery,2,96,486,20,3220,88,8,,18,100,2024
Muzzleloader,2,8,24,33,34,8,,,0,100,2024
All Weapons Combined,2,1370,3878,35,25815,987,383,0,17,100,2024
Any Weapon,3,1043,3115,33,17989,745,298,100,14,100,2024
Archery,3,79,448,18,2867,47,32,,28,100,2024
Muzzleloader,3,13,89,15,251,13,,,50,100,2024
All Weapons Combined,3,1135,3652,31,21106,805,330,100,15,100,2024
Any Weapon,4,493,2585,19,14880,323,170,33,20,76,2024
Archery,4,45,433,10,3123,36,9,21,0,84,2024
Muzzleloader,4,141,599,24,2634,118,23,0,12,98,2024
All Weapons Combined,4,679,3616,19,20636,477,202,31,20,80,2024
Any Weapon,4A,131,412,32,2443,101,30,44,25,83,2024
Archery,4A,16,56,29,367,11,5,0,50,75,2024
Muzzleloader,4A,0,5,0,19,,,,,,2024
All Weapons Combined,4A,147,472,31,2829,112,35,39,28,83,2024
Any Weapon,5,1130,2649,43,17628,876,254,0,25,100,2024
Archery,5,51,228,22,1449,33,18,,12,100,2024
Muzzleloader,5,5,20,25,52,5,,,0,100,2024
All Weapons Combined,5,1186,2897,41,19129,914,272,0,24,100,2024
Any Weapon,6,1341,3297,41,21811,959,382,34,18,94,2024
Archery,6,24,314,8,2370,19,4,0,26,93,2024
Muzzleloader,6,0,5,0,19,,,,,,2024
All Weapons Combined,6,1364,3616,38,24201,978,386,32,18,94,2024
Any Weapon,7,19,135,14,942,19,,67,0,25,2024
Archery,7,5,57,9,510,5,,0,,0,2024
Muzzleloader,7,6,34,18,105,6,,100,0,82,2024
All Weapons Combined,7,30,226,13,1556,30,0,52,0,32,2024
Any Weapon,8,922,2153,43,13581,726,195,39,20,94,2024
Archery,8,14,116,12,707,13,2,,0,100,2024
Muzzleloader,8,0,2,0,8,,,,,,2024
All Weapons Combined,8,936,2270,41,14295,739,197,39,20,94,2024
Any Weapon,8A,1930,4588,42,30932,1405,524,71,26,100,2024
Archery,8A,25,256,10,2177,15,10,,34,100,2024
Muzzleloader,8A,24,153,16,591,6,18,,0,100,2024
All Weapons Combined,8A,1980,4996,40,33700,1426,553,71,26,100,2024
Any Weapon,9,6,63,10,412,6,,,0,100,2024
Archery,9,0,26,0,302,,,,,,2024
Muzzleloader,9,0,2,0,6,,,,,,2024
All Weapons Combined,9,6,92,7,721,6,0,,0,100,2024
Any Weapon,10,120,460,26,2797,83,37,72,27,94,2024
Archery,10,1,19,5,108,1,,,0,100,2024
All Weapons Combined,10,121,479,25,2904,84,37,72,26,94,2024
Any Weapon,10A,2137,5198,41,34314,1628,509,74,19,97,2024
Archery,10A,32,305,10,2812,18,14,,41,92,2024
Muzzleloader,10A,34,120,28,424,2,32,,0,100,2024
All Weapons Combined,10A,2202,5624,39,37549,1648,555,74,20,97,2024
Any Weapon,11,753,1679,45,9129,589,164,0,24,99,2024
Archery,11,0,3,0,12,,,,,,2024
Muzzleloader,11,0,3,0,18,,,,,,2024
All Weapons Combined,11,753,1685,45,9160,589,164,0,24,99,2024
Any Weapon,11A,463,1052,44,6067,383,80,38,26,98,2024
Archery,11A,13,36,36,201,13,,,78,100,2024
Muzzleloader,11A,0,2,0,3,,,,,,2024
All Weapons Combined,11A,476,1090,44,6272,396,80,38,28,98,2024
Any Weapon,12,52,207,25,1017,50,2,,14,100,2024
Archery,12,0,19,0,127,,,,,,2024
All Weapons Combined,12,52,226,23,1144,50,2,,14,100,2024
Any Weapon,13,207,438,47,2506,126,81,,17,100,2024
Archery,13,4,1,400,3,,4,,,100,2024
All Weapons Combined,13,211,439,48,2508,126,86,,17,100,2024
Any Weapon,14,354,1028,34,5789,285,69,0,23,98,2024
Archery,14,5,6,83,42,5,,,0,100,2024
Muzzleloader,14,0,8,0,10,,,,,,2024
All Weapons Combined,14,359,1042,34,5841,290,69,0,23,98,2024
Any Weapon,15,1013,2145,47,11162,673,340,65,16,99,2024
Archery,15,63,268,24,1911,47,16,,32,100,2024
Muzzleloader,15,5,6,83,17,5,,,33,100,2024
All Weapons Combined,15,1081,2419,45,13089,724,357,65,17,99,2024
Any Weapon,16,400,817,49,4511,308,93,,22,100,2024
Archery,16,3,3,100,13,3,,,0,100,2024
Muzzleloader,16,21,85,25,356,15,6,,0,100,2024
All Weapons Combined,16,425,905,47,4880,326,99,,21,100,2024
Any Weapon,16A,32,134,24,875,22,11,50,13,92,2024
Muzzleloader,16A,0,1,0,2,,,,,,2024
All Weapons Combined,16A,32,135,24,878,22,11,50,13,92,2024
Any Weapon,17,139,446,31,2550,130,8,73,26,52,2024
Archery,17,1,2,50,23,1,,,0,100,2024
All Weapons Combined,17,140,449,31,2573,132,8,73,26,52,2024
Any Weapon,18,181,551,33,2791,110,72,,21,100,2024
Archery,18,0,10,0,73,,,,,,2024
All Weapons Combined,18,181,561,32,2864,110,72,,21,100,2024
Any Weapon,19,140,387,36,2284,120,20,76,0,18,2024
Archery,19,5,6,83,59,,5,,,0,2024
All Weapons Combined,19,145,394,37,2343,120,25,76,0,18,2024
Any Weapon,19A,129,445,29,2360,106,24,38,0,37,2024
Archery,19A,10,78,13,467,10,,0,,0,2024
Muzzleloader,19A,0,6,0,15,,,,,,2024
All Weapons Combined,19A,139,529,26,2843,116,24,34,0,34,2024
Any Weapon,20,138,296,47,1582,101,37,56,18,58,2024
Archery,20,0,3,0,18,,,,,,2024
Muzzleloader,20,0,3,0,21,,,,,,2024
All Weapons Combined,20,138,302,46,1621,101,37,56,18,58,2024
Any Weapon,20A,56,188,30,956,55,2,18,96,46,2024
Archery,20A,0,10,0,54,,,,,,2024
Muzzleloader,20A,0,4,0,19,,,,,,2024
All Weapons Combined,20A,56,202,28,1029,55,2,18,96,46,2024
Any Weapon,21,260,638,41,3815,258,2,44,9,7,2024
Archery,21,40,90,44,743,15,25,27,,4,2024
Muzzleloader,21,29,43,67,188,23,6,,13,100,2024
All Weapons Combined,21,329,771,43,4746,296,33,43,11,15,2024
Any Weapon,21A,202,521,39,2984,175,26,42,0,33,2024
Archery,21A,8,48,17,459,7,1,50,0,60,2024
Muzzleloader,21A,20,50,40,312,9,11,,75,100,2024
All Weapons Combined,21A,230,619,37,3755,191,38,43,9,40,2024
Any Weapon,22,473,1340,35,5206,347,126,5,13,17,2024
Archery,22,149,487,31,3595,45,104,0,,6,2024
Muzzleloader,22,0,1,0,2,,,,,,2024
All Weapons Combined,22,622,1828,34,8803,392,230,4,13,15,2024
Any Weapon,23,536,1914,28,9855,415,121,42,16,57,2024
Archery,23,57,394,14,3118,40,17,58,0,15,2024
Muzzleloader,23,3,8,38,23,,3,,,100,2024
All Weapons Combined,23,597,2316,26,12996,456,141,44,15,53,2024
Any Weapon,24,244,1380,18,7159,190,54,38,13,38,2024
Archery,24,52,527,10,3651,26,25,48,,0,2024
Muzzleloader,24,8,26,31,137,4,3,0,100,50,2024
All Weapons Combined,24,303,1933,16,10947,221,82,39,15,32,2024
Any Weapon,25,212,744,28,3672,191,21,64,0,5,2024
Archery,25,33,122,27,1053,24,9,34,0,3,2024
Muzzleloader,25,0,8,0,22,,,,,,2024
All Weapons Combined,25,245,873,28,4747,215,30,61,0,4,2024
Any Weapon,26,53,157,34,905,53,,48,,0,2024
Archery,26,0,6,0,57,,,,,,2024
All Weapons Combined,26,53,163,33,962,53,0,48,,0,2024
Any Weapon,27,303,838,36,4607,303,,57,,0,2024
Archery,27,0,21,0,124,,,,,,2024
Muzzleloader,27,0,1,0,5,,,,,,2024
All Weapons Combined,27,303,860,35,4736,303,0,57,,0,2024
Any Weapon,28,368,972,38,4742,346,22,45,0,15,2024
Archery,28,65,284,23,1241,48,18,54,0,5,2024
Muzzleloader,28,11,31,35,292,9,2,100,0,56,2024
All Weapons Combined,28,445,1287,35,6274,403,41,47,0,14,2024
Any Weapon,29,267,695,38,2726,239,29,28,6,34,2024
Archery,29,20,169,12,1244,11,9,26,0,7,2024
Muzzleloader,29,27,56,48,235,22,5,,41,82,2024
All Weapons Combined,29,314,920,34,4205,272,42,28,14,36,2024
Any Weapon,30,318,721,44,3188,286,33,41,17,27,2024
Archery,30,36,89,40,482,19,17,69,0,17,2024
Muzzleloader,30,51,80,64,474,44,6,,5,100,2024
All Weapons Combined,30,405,890,46,4143,349,56,43,13,36,2024
Any Weapon,30A,4,32,12,128,4,,,0,100,2024
Archery,30A,1,61,2,481,1,,0,,0,2024
Muzzleloader,30A,0,3,0,12,,,,,,2024
All Weapons Combined,30A,5,96,5,621,5,0,0,0,77,2024
Any Weapon,31,300,1225,24,4494,285,16,34,100,2,2024
Archery,31,57,325,18,2442,24,34,41,,0,2024
All Weapons Combined,31,357,1550,23,6936,308,49,35,100,2,2024
Any Weapon,32,870,2449,36,9254,772,99,39,0,2,2024
Archery,32,36,212,17,1117,11,25,27,,0,2024
Muzzleloader,32,8,8,100,16,5,3,0,,0,2024
All Weapons Combined,32,914,2669,34,10386,787,127,39,0,2,2024
Any Weapon,32A,306,1614,19,7245,278,29,31,0,9,2024
Archery,32A,74,452,16,3284,48,26,45,28,24,2024
All Weapons Combined,32A,380,2066,18,10530,326,55,32,14,12,2024
Any Weapon,33,263,1133,23,5701,235,28,28,10,28,2024
Archery,33,19,115,17,619,11,8,0,76,33,2024
Muzzleloader,33,0,8,0,14,,,,,,2024
All Weapons Combined,33,282,1256,22,6334,246,35,28,18,29,2024
Any Weapon,34,41,266,15,1191,40,1,40,,3,2024
Archery,34,5,39,13,152,5,,100,,0,2024
All Weapons Combined,34,46,304,15,1343,45,1,47,,3,2024
Any Weapon,35,37,232,16,1152,37,,33,,0,2024
Archery,35,0,5,0,29,,,,,,2024
All Weapons Combined,35,37,237,16,1181,37,0,33,,0,2024
Any Weapon,36,362,866,42,3872,362,,50,0,1,2024
Archery,36,70,189,37,1356,42,27,42,,0,2024
All Weapons Combined,36,432,1055,41,5228,404,27,49,0,1,2024
Any Weapon,36A,140,447,31,2168,134,6,60,30,17,2024
Archery,36A,11,117,9,1066,11,,56,,0,2024
All Weapons Combined,36A,151,564,27,3234,145,6,60,30,16,2024
Any Weapon,36B,449,1006,45,5222,442,7,42,48,9,2024
Archery,36B,22,64,34,421,13,10,0,,0,2024
Muzzleloader,36B,4,16,25,121,4,,100,0,50,2024
All Weapons Combined,36B,475,1086,44,5764,458,17,42,47,9,2024
Any Weapon,37,132,399,33,1570,118,13,21,37,42,2024
Archery,37,5,46,11,217,5,,,100,100,2024
Muzzleloader,37,24,39,62,294,15,10,,72,100,2024
All Weapons Combined,37,161,484,33,2081,138,23,21,45,53,2024
Any Weapon,37A,42,172,24,648,39,2,62,100,5,2024
Archery,37A,0,30,0,103,,,,,,2024
Muzzleloader,37A,18,21,86,79,12,6,,17,100,2024
All Weapons Combined,37A,60,223,27,830,52,8,62,31,34,2024
Any Weapon,38,196,549,36,2284,93,104,19,,0,2024
Archery,38,10,101,10,562,5,5,100,,0,2024
Muzzleloader,38,27,57,47,236,22,4,25,,0,2024
All Weapons Combined,38,232,706,33,3080,120,113,27,,0,2024
Any Weapon,39,1793,9070,20,41907,1487,306,24,0,0,2024
Archery,39,128,1300,10,5510,72,56,45,0,1,2024
Muzzleloader,39,69,313,22,1449,5,64,0,,0,2024
All Weapons Combined,39,1990,10683,19,48866,1564,426,25,0,0,2024
Any Weapon,40,685,2100,33,6482,680,5,3,0,1,2024
Archery,40,24,182,13,730,24,,0,,0,2024
All Weapons Combined,40,708,2282,31,7212,704,5,3,0,1,2024
Any Weapon,41,125,412,30,1486,125,,1,0,4,2024
Archery,41,0,17,0,71,,,,,,2024
Muzzleloader,41,0,10,0,15,,,,,,2024
All Weapons Combined,41,125,438,29,1572,125,0,1,0,4,2024
Any Weapon,42,50,231,22,952,47,3,0,,0,2024
Archery,42,3,33,9,226,3,,0,,0,2024
All Weapons Combined,42,53,264,20,1177,50,3,0,,0,2024
Any Weapon,43,945,3402,28,15463,829,116,38,0,0,2024
Archery,43,98,659,15,4672,47,52,50,,0,2024
Muzzleloader,43,3,3,100,21,3,,0,,0,2024
All Weapons Combined,43,1046,4064,26,20156,879,167,36,0,0,2024
Any Weapon,44,11,35,31,122,6,5,0,100,28,2024
All Weapons Combined,44,11,35,31,122,6,5,0,100,28,2024
Any Weapon,45,3,28,11,101,3,,0,,0,2024
Archery,45,0,3,0,15,,,,,,2024
All Weapons Combined,45,3,31,10,116,3,0,0,,0,2024
Any Weapon,46,494,1610,31,6817,414,80,34,100,1,2024
Archery,46,8,101,8,514,8,,62,,0,2024
Muzzleloader,46,10,5,200,24,10,,0,,0,2024
All Weapons Combined,46,512,1716,30,7355,432,80,34,100,1,2024
Any Weapon,47,1,10,10,23,1,,0,,0,2024
Archery,47,10,89,11,429,5,5,0,,0,2024
Muzzleloader,47,0,3,0,24,,,,,,2024
All Weapons Combined,47,11,102,11,476,6,5,0,,0,2024
Any Weapon,48,650,1970,33,9133,650,,44,,0,2024
Archery,48,40,279,14,1967,25,15,63,,0,2024
All Weapons Combined,48,690,2249,31,11101,675,15,45,,0,2024
Any Weapon,49,574,1931,30,8139,568,6,27,0,0,2024
Archery,49,54,290,19,2018,31,22,54,,0,2024
Muzzleloader,49,0,5,0,5,,,,,,2024
All Weapons Combined,49,628,2226,28,10162,599,28,28,0,0,2024
Any Weapon,50,336,1369,25,6127,330,6,41,43,7,2024
Archery,50,41,264,16,1766,41,,53,,0,2024
Muzzleloader,50,5,3,167,3,5,,0,,0,2024
All Weapons Combined,50,382,1636,23,7896,375,6,42,43,6,2024
Any Weapon,51,194,705,28,2672,186,8,46,0,11,2024
Archery,51,5,141,4,1214,5,,0,,0,2024
All Weapons Combined,51,199,846,24,3885,191,8,45,0,11,2024
Any Weapon,52,16,70,23,336,16,,0,,0,2024
Archery,52,0,8,0,24,,,,,,2024
All Weapons Combined,52,16,78,21,360,16,0,0,,0,2024
Any Weapon,52A,222,1051,21,4730,170,52,39,,0,2024
Archery,52A,19,53,36,308,19,,74,,0,2024
Muzzleloader,52A,3,6,50,21,3,,,0,100,2024
All Weapons Combined,52A,244,1110,22,5060,192,52,42,0,1,2024
Any Weapon,53,90,253,36,1003,71,19,44,,0,2024
Archery,53,5,28,18,70,,5,,,0,2024
Muzzleloader,53,32,42,76,220,14,19,78,,0,2024
All Weapons Combined,53,127,322,39,1294,85,42,50,,0,2024
Any Weapon,54,5,36,14,317,5,,100,,0,2024
Archery,54,0,15,0,63,,,,,,2024
All Weapons Combined,54,5,51,10,380,5,0,100,,0,2024
Any Weapon,55,6,36,17,191,6,,0,,0,2024
Archery,55,90,703,13,3116,73,17,24,,0,2024
All Weapons Combined,55,96,739,13,3307,79,17,41,,0,2024
Any Weapon,56,438,1656,26,6541,438,,40,,0,2024
Archery,56,37,168,22,1357,33,4,71,,0,2024
Muzzleloader,56,0,3,0,3,,,,,,2024
All Weapons Combined,56,476,1828,26,7901,472,4,42,,0,2024
Any Weapon,57,5,30,17,64,5,,0,,0,2024
Archery,57,3,57,5,415,3,,100,0,55,2024
Muzzleloader,57,0,3,0,3,,,,,,2024
All Weapons Combined,57,8,90,9,482,8,0,20,0,20,2024
Any Weapon,58,93,393,24,1428,93,,31,100,2,2024
Archery,58,10,74,14,574,5,5,0,,0,2024
All Weapons Combined,58,102,467,22,2002,98,5,29,100,2,2024
Any Weapon,59,282,1038,27,3669,276,6,20,0,2,2024
Archery,59,15,214,7,1836,15,,32,,0,2024
Muzzleloader,59,0,19,0,97,,,,,,2024
All Weapons Combined,59,297,1271,23,5602,291,6,21,0,2,2024
Any Weapon,59A,92,470,20,1724,92,,29,0,7,2024
Archery,59A,3,105,3,841,3,,100,,0,2024
Muzzleloader,59A,0,13,0,24,,,,,,2024
All Weapons Combined,59A,95,588,16,2588,95,0,31,0,6,2024
Any Weapon,60,189,911,21,4178,183,6,37,0,26,2024
Archery,60,35,201,17,1620,33,2,11,0,21,2024
All Weapons Combined,60,223,1112,20,5798,216,8,32,0,25,2024
Any Weapon,60A,323,1139,28,4750,297,26,27,12,19,2024
Archery,60A,45,244,18,1829,36,9,,41,100,2024
Muzzleloader,60A,4,1,400,3,3,1,,100,100,2024
All Weapons Combined,60A,372,1384,27,6582,336,36,27,30,30,2024
Any Weapon,61,213,963,22,3845,207,6,34,0,8,2024
Archery,61,31,379,8,3371,28,3,4,,10,2024
Muzzleloader,61,0,22,0,132,,,,,,2024
All Weapons Combined,61,245,1364,18,7348,236,9,30,0,8,2024
Any Weapon,62,77,470,16,2185,70,8,47,0,43,2024
Archery,62,19,125,15,1222,9,10,,33,100,2024
Muzzleloader,62,0,3,0,24,,,,,,2024
All Weapons Combined,62,96,599,16,3431,79,17,47,9,54,2024
Any Weapon,62A,58,323,18,1430,50,8,42,0,24,2024
Archery,62A,5,64,8,666,5,,100,,0,2024
Muzzleloader,62A,0,3,0,3,,,,,,2024
All Weapons Combined,62A,63,390,16,2100,55,8,48,0,22,2024
Any Weapon,63,46,202,23,935,44,2,52,0,6,2024
Archery,63,1,75,1,650,1,,100,,0,2024
Muzzleloader,63,0,13,0,74,,,,,,2024
All Weapons Combined,63,47,289,16,1659,45,2,53,0,6,2024
Any Weapon,63A,95,341,28,1354,58,36,0,3,90,2024
Archery,63A,173,552,31,5752,150,23,,38,100,2024
Muzzleloader,63A,15,45,33,136,9,6,,34,100,2024
All Weapons Combined,63A,283,938,30,7242,218,66,0,30,97,2024
Any Weapon,64,58,407,14,1701,48,11,52,0,26,2024
Archery,64,24,138,17,1080,24,,100,0,80,2024
Muzzleloader,64,0,3,0,12,,,,,,2024
All Weapons Combined,64,82,547,15,2793,71,11,57,0,42,2024
Any Weapon,65,20,171,12,796,14,6,55,0,46,2024
Archery,65,8,74,11,668,8,,,39,100,2024
All Weapons Combined,65,28,245,11,1464,22,6,55,28,61,2024
Any Weapon,66,57,764,7,3554,40,17,34,49,34,2024
Archery,66,16,199,8,1760,16,,0,51,38,2024
All Weapons Combined,66,73,963,8,5314,56,17,27,50,35,2024
Any Weapon,66A,34,330,10,1400,34,,30,,0,2024
Archery,66A,4,112,4,1053,4,,100,0,73,2024
Muzzleloader,66A,5,,,,5,,100,,0,2024
All Weapons Combined,66A,43,442,10,2453,43,0,41,0,7,2024
Any Weapon,67,61,566,11,2524,47,14,80,0,43,2024
Archery,67,6,112,5,1104,3,3,,0,100,2024
Muzzleloader,67,4,,,,1,3,,0,100,2024
All Weapons Combined,67,71,678,10,3628,52,20,80,0,51,2024
Any Weapon,68,168,623,27,2616,168,,43,,0,2024
Archery,68,0,59,0,396,,,,,,2024
Muzzleloader,68,0,5,0,5,,,,,,2024
All Weapons Combined,68,168,686,24,3017,168,0,43,,0,2024
Any Weapon,68A,0,27,0,102,,,,,,2024
Archery,68A,0,11,0,168,,,,,,2024
All Weapons Combined,68A,0,38,0,270,0,0,,,,2024
Any Weapon,69,287,1876,15,8097,281,6,43,28,16,2024
Archery,69,9,305,3,2027,3,6,,0,100,2024
All Weapons Combined,69,296,2181,14,10124,284,12,43,26,18,2024
Any Weapon,70,8,60,13,213,8,,38,,0,2024
Archery,70,0,18,0,190,,,,,,2024
All Weapons Combined,70,8,78,10,403,8,0,38,,0,2024
Any Weapon,71,154,823,19,3177,154,,55,0,3,2024
Archery,71,8,108,7,613,8,,0,,0,2024
All Weapons Combined,71,162,932,17,3789,162,0,52,0,3,2024
Any Weapon,72,146,647,23,2477,146,,38,0,2,2024
Archery,72,0,107,0,1193,,,,,,2024
Muzzleloader,72,0,5,0,15,,,,,,2024
All Weapons Combined,72,146,759,19,3685,146,0,38,0,2,2024
Any Weapon,73,40,153,26,593,40,,45,0,3,2024
Archery,73,35,211,17,1670,35,,19,,0,2024
All Weapons Combined,73,75,364,21,2263,75,0,32,0,2,2024
Any Weapon,73A,280,837,33,3477,280,,35,0,2,2024
Archery,73A,9,84,11,544,9,,54,,0,2024
Muzzleloader,73A,0,5,0,5,,,,,,2024
All Weapons Combined,73A,289,927,31,4026,289,0,36,0,2,2024
Any Weapon,74,349,982,36,3996,346,3,53,,0,2024
Archery,74,20,158,13,1292,20,,38,,0,2024
Muzzleloader,74,5,,,,5,,0,,0,2024
All Weapons Combined,74,374,1141,33,5287,371,3,51,,0,2024
Any Weapon,75,151,664,23,3006,151,,52,,0,2024
Archery,75,5,95,5,687,5,,100,,0,2024
All Weapons Combined,75,156,760,21,3693,156,0,53,,0,2024
Any Weapon,76,352,2048,17,10952,352,,46,,0,2024
Archery,76,11,404,3,3986,11,,36,,0,2024
Muzzleloader,76,0,8,0,54,,,,,,2024
All Weapons Combined,76,363,2459,15,14991,363,0,46,,0,2024
Any Weapon,77,171,799,21,3785,171,,53,0,2,2024
Archery,77,4,142,3,1211,4,,29,,0,2024
All Weapons Combined,77,175,941,19,4995,175,0,52,0,2,2024
Any Weapon,78,0,36,0,111,,,,,,2024
Archery,78,9,196,5,1649,9,,30,,0,2024
Muzzleloader,78,0,5,0,73,,,,,,2024
All Weapons Combined,78,9,237,4,1833,9,0,30,,0,2024
