Take Method,Unit,Harvest,Hunters,Success%,Days,Antlered,Antlerless,%Spike,%6+Pts,Year
Any Weapon,1,290,2776,10,15030,234,57,27,33,2024
Archery,1,98,901,11,7536,88,10,24,39,2024
Muzzleloader,1,68,504,13,1617,,68,,,2024
All Weapons Combined,1,456,4181,11,24184,322,135,26,34,2024
Any Weapon,2,56,1033,5,5100,39,16,28,0,2024
Archery,2,46,355,13,2444,41,5,4,34,2024
Muzzleloader,2,16,214,7,612,,16,,,2024
All Weapons Combined,2,118,1601,7,8156,81,38,16,18,2024
Any Weapon,3,162,1804,9,8852,125,38,58,8,2024
Archery,3,47,751,6,5730,45,2,23,49,2024
Muzzleloader,3,62,576,11,1641,,62,,,2024
All Weapons Combined,3,272,3131,9,16223,170,101,48,19,2024
Any Weapon,4,279,3118,9,16167,279,,44,16,2024
Archery,4,116,1394,8,10938,116,,23,42,2024
Muzzleloader,4,77,622,12,2767,77,,77,7,2024
All Weapons Combined,4,473,5134,9,29872,473,0,44,21,2024
Any Weapon,4A,35,367,10,2054,30,6,22,0,2024
Archery,4A,26,201,13,1766,26,,15,10,2024
Muzzleloader,4A,7,32,22,97,,7,,,2024
All Weapons Combined,4A,68,600,11,3916,56,12,19,5,2024
Any Weapon,5,305,1677,18,8832,227,78,43,8,2024
Archery,5,80,485,16,3502,79,2,19,14,2024
Muzzleloader,5,37,396,9,1172,,37,,,2024
All Weapons Combined,5,423,2558,17,13506,306,117,37,10,2024
Any Weapon,6,392,2722,14,15562,296,96,29,21,2024
Archery,6,152,1052,14,8947,143,9,32,25,2024
Muzzleloader,6,0,35,0,124,,,,,2024
All Weapons Combined,6,544,3810,14,24633,439,105,30,22,2024
Any Weapon,7,41,317,13,1775,41,,42,30,2024
Archery,7,30,205,15,1683,30,,21,54,2024
Muzzleloader,7,1,68,1,359,1,,100,0,2024
All Weapons Combined,7,73,590,12,3817,73,0,34,39,2024
Any Weapon,8,215,718,30,3697,143,72,32,26,2024
Archery,8,34,168,20,1142,33,1,19,50,2024
Muzzleloader,8,11,79,14,314,,11,,,2024
All Weapons Combined,8,260,965,27,5153,176,84,29,30,2024
Any Weapon,8A,369,1746,21,9594,308,62,25,12,2024
Archery,8A,140,572,24,5122,115,25,17,38,2024
Muzzleloader,8A,32,310,10,1305,11,20,100,0,2024
All Weapons Combined,8A,541,2628,21,16021,434,107,25,19,2024
Any Weapon,9,14,122,11,638,14,,10,0,2024
Archery,9,7,111,6,893,7,,0,85,2024
Muzzleloader,9,0,1,0,12,,,,,2024
All Weapons Combined,9,22,234,9,1542,22,0,6,29,2024
Any Weapon,10,52,429,12,2825,52,,0,37,2024
Archery,10,25,236,11,1874,25,,0,48,2024
All Weapons Combined,10,77,665,12,4698,77,0,0,40,2024
Any Weapon,10A,465,2055,23,16040,465,,31,12,2024
Archery,10A,132,827,16,7171,101,31,18,30,2024
Muzzleloader,10A,63,430,15,1661,16,48,100,0,2024
All Weapons Combined,10A,661,3312,20,24873,582,79,31,14,2024
Any Weapon,11A,39,211,18,1141,29,10,7,69,2024
Archery,11A,23,68,34,278,22,1,5,47,2024
Muzzleloader,11A,0,5,0,20,,,,,2024
All Weapons Combined,11A,62,285,22,1439,50,11,6,60,2024
Any Weapon,12,25,212,12,1434,25,,0,33,2024
Archery,12,16,114,14,867,16,,0,75,2024
All Weapons Combined,12,41,326,13,2300,41,0,0,49,2024
Any Weapon,14,218,710,31,4250,218,,18,15,2024
Archery,14,1,11,9,75,1,,0,0,2024
Muzzleloader,14,75,143,52,662,,75,,,2024
All Weapons Combined,14,294,863,34,4987,219,75,18,15,2024
Any Weapon,15,53,384,14,2418,53,,36,25,2024
Archery,15,31,234,13,2564,31,,5,34,2024
Muzzleloader,15,0,11,0,45,,,,,2024
All Weapons Combined,15,84,629,13,5027,84,0,25,28,2024
Any Weapon,16,77,196,39,967,77,,29,26,2024
Archery,16,1,5,20,49,1,,0,100,2024
Muzzleloader,16,7,43,16,247,,7,,,2024
All Weapons Combined,16,85,244,35,1263,78,7,28,27,2024
Any Weapon,16A,16,181,9,1146,16,,8,25,2024
Archery,16A,0,1,0,4,,,,,2024
All Weapons Combined,16A,16,182,9,1150,16,0,8,25,2024
Any Weapon,17,78,494,16,3062,78,,4,51,2024
Archery,17,0,6,0,34,,,,,2024
All Weapons Combined,17,78,500,16,3096,78,0,4,51,2024
Any Weapon,19,61,365,17,2363,61,,14,32,2024
Archery,19,0,6,0,35,,,,,2024
All Weapons Combined,19,61,371,16,2398,61,0,14,32,2024
Any Weapon,19A,71,388,18,2253,71,,19,31,2024
Archery,19A,18,273,7,1816,13,4,20,52,2024
Muzzleloader,19A,0,4,0,18,,,,,2024
All Weapons Combined,19A,89,665,13,4087,84,4,19,34,2024
Any Weapon,20,58,310,19,2142,58,,19,38,2024
Archery,20,1,2,50,9,1,,100,0,2024
All Weapons Combined,20,60,313,19,2150,60,0,21,37,2024
Any Weapon,20A,62,300,21,1669,62,,14,46,2024
Archery,20A,0,8,0,46,,,,,2024
All Weapons Combined,20A,62,308,20,1715,62,0,14,46,2024
Any Weapon,21,96,397,24,2526,96,,55,21,2024
Archery,21,22,130,17,1026,19,2,31,29,2024
All Weapons Combined,21,117,527,22,3552,115,2,51,22,2024
Any Weapon,21A,202,573,35,3549,202,,19,19,2024
Archery,21A,22,113,19,926,19,2,19,26,2024
All Weapons Combined,21A,224,686,33,4474,222,2,19,20,2024
Any Weapon,22,290,1201,24,6142,286,4,31,22,2024
Archery,22,135,933,14,8456,94,42,20,37,2024
All Weapons Combined,22,425,2134,20,14598,379,46,28,26,2024
Any Weapon,23,260,1426,18,7390,216,44,24,29,2024
Archery,23,131,1011,13,8327,82,48,27,46,2024
Muzzleloader,23,46,190,24,807,,46,,,2024
All Weapons Combined,23,437,2627,17,16524,298,139,25,34,2024
Any Weapon,24,124,1194,10,6104,94,31,43,42,2024
Archery,24,133,878,15,6866,86,47,14,54,2024
Muzzleloader,24,18,148,12,752,,18,,,2024
All Weapons Combined,24,275,2220,12,13722,180,96,29,48,2024
Any Weapon,25,41,546,8,2582,41,,17,42,2024
Archery,25,48,303,16,2460,48,,18,39,2024
Muzzleloader,25,0,4,0,9,,,,,2024
All Weapons Combined,25,89,853,10,5051,89,0,18,40,2024
Any Weapon,26,35,219,16,1289,35,,15,39,2024
Archery,26,0,4,0,19,,,,,2024
All Weapons Combined,26,35,223,16,1308,35,0,15,39,2024
Any Weapon,27,154,1010,15,6040,154,,1,42,2024
Archery,27,0,6,0,33,,,,,2024
Muzzleloader,27,1,,,,1,,0,0,2024
All Weapons Combined,27,156,1016,15,6073,156,0,1,41,2024
Any Weapon,28,253,793,32,4553,252,1,29,36,2024
Archery,28,6,54,11,251,1,5,0,0,2024
All Weapons Combined,28,259,847,31,4803,253,6,29,36,2024
Any Weapon,29,117,243,48,1228,,117,,,2024
Archery,29,54,319,17,2510,50,4,20,40,2024
Muzzleloader,29,23,66,35,289,4,19,100,0,2024
All Weapons Combined,29,194,628,31,4028,55,140,27,37,2024
Any Weapon,30,13,90,14,468,,13,,,2024
Archery,30,16,152,11,1187,16,,0,64,2024
Muzzleloader,30,3,37,8,186,,3,,,2024
All Weapons Combined,30,32,278,12,1841,16,16,0,64,2024
Any Weapon,30A,2,20,10,45,,2,,,2024
Archery,30A,37,283,13,2176,34,3,3,66,2024
Muzzleloader,30A,7,68,10,271,,7,,,2024
All Weapons Combined,30A,46,371,12,2492,34,13,3,66,2024
Any Weapon,31,1,18,6,173,,1,,,2024
Archery,31,92,461,20,4249,60,32,28,32,2024
All Weapons Combined,31,93,480,19,4422,60,33,28,32,2024
Any Weapon,32,392,1235,32,5943,195,197,20,35,2024
Archery,32,28,212,13,1656,24,4,42,23,2024
All Weapons Combined,32,420,1447,29,7599,219,201,22,34,2024
Any Weapon,32A,210,1002,21,4398,194,17,40,21,2024
Archery,32A,141,686,21,5275,120,21,24,30,2024
All Weapons Combined,32A,352,1688,21,9673,314,38,34,25,2024
Any Weapon,33,174,580,30,3720,172,1,46,17,2024
Archery,33,57,201,28,1497,44,12,19,39,2024
All Weapons Combined,33,230,781,29,5217,217,14,40,22,2024
Any Weapon,34,50,252,20,1433,50,,48,20,2024
Archery,34,14,119,12,751,12,2,0,37,2024
All Weapons Combined,34,64,371,17,2184,62,2,39,30,2024
Any Weapon,35,50,177,28,875,50,,61,28,2024
Archery,35,10,32,31,180,6,4,19,16,2024
All Weapons Combined,35,60,209,29,1055,56,4,56,26,2024
Any Weapon,36,184,570,32,3384,184,,28,37,2024
Archery,36,63,344,18,2876,49,14,22,52,2024
All Weapons Combined,36,247,914,27,6260,233,14,27,40,2024
Any Weapon,36A,105,287,37,1243,,105,,,2024
Archery,36A,42,432,10,3607,36,6,17,41,2024
Muzzleloader,36A,3,58,5,170,,3,,,2024
All Weapons Combined,36A,150,777,19,5020,36,114,17,41,2024
Any Weapon,36B,129,598,22,3755,128,1,34,14,2024
Archery,36B,17,110,15,858,14,3,7,47,2024
All Weapons Combined,36B,146,708,21,4614,142,4,31,17,2024
Any Weapon,37,46,128,36,601,,46,,,2024
Archery,37,20,120,17,868,17,2,8,53,2024
Muzzleloader,37,19,48,40,193,,19,,,2024
All Weapons Combined,37,85,296,29,1662,17,67,8,53,2024
Any Weapon,37A,77,141,55,622,,77,,,2024
Archery,37A,28,132,21,790,23,4,24,28,2024
Muzzleloader,37A,2,27,7,102,,2,,,2024
All Weapons Combined,37A,107,300,36,1514,23,83,24,28,2024
Any Weapon,39,570,4067,14,18395,570,,33,22,2024
Archery,39,17,325,5,1740,,17,,,2024
Muzzleloader,39,0,13,0,89,,,,,2024
All Weapons Combined,39,587,4406,13,20224,570,17,33,22,2024
Any Weapon,43,0,30,0,161,,,,,2024
Archery,43,88,915,10,7146,65,23,29,33,2024
Muzzleloader,43,0,1,0,7,,,,,2024
All Weapons Combined,43,88,946,9,7314,65,23,29,33,2024
Any Weapon,44,47,293,16,1172,,47,,,2024
Archery,44,5,30,17,157,5,,0,79,2024
Muzzleloader,44,0,2,0,19,,,,,2024
All Weapons Combined,44,52,325,16,1348,5,47,0,79,2024
Any Weapon,45,126,409,31,1920,1,125,100,0,2024
Archery,45,1,10,10,56,,1,,,2024
Muzzleloader,45,0,2,0,23,,,,,2024
All Weapons Combined,45,127,421,30,1999,1,126,100,0,2024
Archery,47,0,2,0,16,,,,,2024
All Weapons Combined,47,0,2,0,16,0,0,,,2024
Any Weapon,48,0,15,0,67,,,,,2024
Archery,48,82,498,16,3958,71,11,21,37,2024
All Weapons Combined,48,82,513,16,4025,71,11,21,37,2024
Any Weapon,49,32,194,16,865,1,31,100,0,2024
Archery,49,69,535,13,3654,56,13,13,51,2024
Muzzleloader,49,0,56,0,174,,,,,2024
All Weapons Combined,49,101,784,13,4693,58,44,15,50,2024
Any Weapon,50,90,292,31,1383,1,89,0,100,2024
Archery,50,86,696,12,5468,80,6,17,41,2024
Muzzleloader,50,25,120,21,403,,25,,,2024
All Weapons Combined,50,200,1109,18,7253,81,120,17,42,2024
Any Weapon,51,23,52,44,301,,23,,,2024
Archery,51,47,306,15,2403,38,10,0,32,2024
Muzzleloader,51,17,109,16,323,,17,,,2024
All Weapons Combined,51,87,467,19,3027,38,49,0,32,2024
Any Weapon,52,11,133,8,572,,11,,,2024
Archery,52,0,2,0,10,,,,,2024
Muzzleloader,52,0,1,0,17,,,,,2024
All Weapons Combined,52,11,137,8,599,0,11,,,2024
Any Weapon,52A,56,156,36,752,,56,,,2024
Archery,52A,31,194,16,1796,31,,0,86,2024
All Weapons Combined,52A,87,350,25,2548,31,56,0,86,2024
Any Weapon,53,20,118,17,745,18,2,30,39,2024
Archery,53,1,58,2,429,1,,0,100,2024
Muzzleloader,53,13,138,9,916,13,,0,56,2024
All Weapons Combined,53,34,314,11,2090,33,2,17,48,2024
Archery,54,0,7,0,53,,,,,2024
All Weapons Combined,54,0,7,0,53,0,0,,,2024
Archery,55,13,128,10,865,13,,18,63,2024
All Weapons Combined,55,13,128,10,865,13,0,18,63,2024
Any Weapon,56,0,2,0,5,,,,,2024
Archery,56,30,258,12,1993,27,2,9,60,2024
All Weapons Combined,56,30,261,11,1997,27,2,9,60,2024
Any Weapon,57,0,1,0,5,,,,,2024
Archery,57,10,78,13,487,10,,12,67,2024
All Weapons Combined,57,10,79,13,492,10,0,12,67,2024
Any Weapon,58,11,21,52,81,,11,,,2024
Archery,58,42,206,20,1614,42,,2,69,2024
Muzzleloader,58,12,60,20,204,,12,,,2024
All Weapons Combined,58,65,288,23,1898,42,24,2,69,2024
Any Weapon,59,0,11,0,63,,,,,2024
Archery,59,58,430,13,3658,35,24,28,41,2024
Muzzleloader,59,35,182,19,757,,35,,,2024
All Weapons Combined,59,93,623,15,4478,35,58,28,41,2024
Any Weapon,59A,14,20,70,27,,14,,,2024
Archery,59A,52,299,17,2363,35,17,7,25,2024
Muzzleloader,59A,12,104,12,387,,12,,,2024
All Weapons Combined,59A,78,422,18,2777,35,43,7,25,2024
Any Weapon,60,0,7,0,160,,,,,2024
Archery,60,87,513,17,4728,63,24,33,22,2024
Muzzleloader,60,0,11,0,41,,,,,2024
All Weapons Combined,60,87,531,16,4930,63,24,33,22,2024
Any Weapon,60A,1,6,17,6,,1,,,2024
Archery,60A,11,182,6,1874,8,4,14,28,2024
Muzzleloader,60A,0,20,0,81,,,,,2024
All Weapons Combined,60A,13,208,6,1961,8,5,14,28,2024
Any Weapon,61,0,7,0,22,,,,,2024
Archery,61,172,1016,17,9652,140,32,20,36,2024
Muzzleloader,61,46,430,11,2001,,46,,,2024
All Weapons Combined,61,218,1452,15,11676,140,78,20,36,2024
Archery,62,10,158,6,1455,8,2,0,70,2024
Muzzleloader,62,0,1,0,3,,,,,2024
All Weapons Combined,62,10,159,6,1458,8,2,0,70,2024
Any Weapon,62A,1,1,100,16,,1,,,2024
Archery,62A,26,115,23,975,20,6,12,36,2024
All Weapons Combined,62A,27,116,23,992,20,7,12,36,2024
Any Weapon,63,0,2,0,6,,,,,2024
Archery,63,0,13,0,92,,,,,2024
Muzzleloader,63,0,2,0,10,,,,,2024
All Weapons Combined,63,0,16,0,108,0,0,,,2024
Any Weapon,63A,0,27,0,398,,,,,2024
Archery,63A,0,10,0,58,,,,,2024
Muzzleloader,63A,0,14,0,162,,,,,2024
All Weapons Combined,63A,0,52,0,618,0,0,,,2024
Any Weapon,64,24,170,14,620,24,,25,30,2024
Archery,64,15,108,14,865,15,,0,50,2024
All Weapons Combined,64,39,278,14,1485,39,0,16,38,2024
Any Weapon,65,1,57,2,195,1,,0,100,2024
Archery,65,6,61,10,534,6,,20,0,2024
Muzzleloader,65,0,1,0,5,,,,,2024
All Weapons Combined,65,8,119,7,734,8,0,17,15,2024
Any Weapon,66,199,1329,15,4901,129,70,30,28,2024
Archery,66,89,529,17,4332,58,31,2,45,2024
Muzzleloader,66,5,5,100,24,5,,0,0,2024
All Weapons Combined,66,292,1864,16,9258,192,101,21,32,2024
Archery,66A,184,761,24,6857,158,26,13,55,2024
All Weapons Combined,66A,184,761,24,6857,158,26,13,55,2024
Any Weapon,67,22,257,9,1122,22,,0,41,2024
Archery,67,13,129,10,1125,11,2,0,66,2024
Muzzleloader,67,5,5,100,25,5,,0,100,2024
All Weapons Combined,67,41,391,10,2272,39,2,0,56,2024
Any Weapon,68,83,162,51,841,,83,,,2024
Archery,68,42,160,26,1660,40,2,14,47,2024
All Weapons Combined,68,125,322,39,2501,40,85,14,47,2024
Any Weapon,68A,0,2,0,6,,,,,2024
Archery,68A,0,30,0,714,,,,,2024
All Weapons Combined,68A,0,32,0,720,0,0,,,2024
Any Weapon,69,264,1418,19,5101,178,86,10,37,2024
Archery,69,77,476,16,3630,56,21,20,41,2024
Muzzleloader,69,0,9,0,18,,,,,2024
All Weapons Combined,69,341,1903,18,8749,235,106,12,38,2024
Any Weapon,70,22,175,13,615,,22,,,2024
Archery,70,18,93,19,759,13,5,0,72,2024
Muzzleloader,70,1,26,4,52,,1,,,2024
All Weapons Combined,70,41,295,14,1426,13,28,0,72,2024
Any Weapon,71,10,246,4,790,,10,,,2024
Archery,71,12,177,7,1225,11,1,0,90,2024
Muzzleloader,71,0,18,0,68,,,,,2024
All Weapons Combined,71,22,442,5,2084,11,11,0,90,2024
Any Weapon,72,34,356,10,1673,,34,,,2024
Archery,72,46,226,20,1896,35,10,19,35,2024
Muzzleloader,72,6,67,9,361,,6,,,2024
All Weapons Combined,72,86,650,13,3930,35,50,19,35,2024
Any Weapon,73,52,339,15,1372,,52,,,2024
Archery,73,31,259,12,1589,29,1,16,43,2024
Muzzleloader,73,5,31,16,177,,5,,,2024
All Weapons Combined,73,87,629,14,3138,29,58,16,43,2024
Any Weapon,73A,5,87,6,340,,5,,,2024
Archery,73A,13,115,11,744,13,,0,91,2024
Muzzleloader,73A,0,19,0,27,,,,,2024
All Weapons Combined,73A,17,221,8,1112,13,5,0,91,2024
Any Weapon,74,52,344,15,1467,,52,,,2024
Archery,74,25,223,11,1747,25,,0,100,2024
Muzzleloader,74,27,98,28,434,,27,,,2024
All Weapons Combined,74,105,665,16,3648,25,80,0,100,2024
Any Weapon,75,71,485,15,2316,46,25,0,20,2024
Archery,75,19,155,12,1398,18,1,13,32,2024
Muzzleloader,75,6,62,10,332,1,5,0,100,2024
All Weapons Combined,75,96,702,14,4046,65,31,4,25,2024
Archery,76,214,1026,21,10974,195,19,6,60,2024
All Weapons Combined,76,214,1026,21,10974,195,19,6,60,2024
Any Weapon,77,56,405,14,1773,33,23,0,80,2024
Archery,77,9,170,5,1054,9,,12,49,2024
Muzzleloader,77,1,21,5,48,,1,,,2024
All Weapons Combined,77,65,597,11,2875,41,24,2,74,2024
Any Weapon,78,86,471,18,2331,36,50,14,21,2024
Archery,78,48,282,17,2228,46,2,12,38,2024
Muzzleloader,78,10,25,40,49,,10,,,2024
All Weapons Combined,78,144,777,19,4609,83,62,13,30,2024
