License Year,Hunting,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bucks,Does,Fawns
2023,215,R,0,0,0,2,2,0,0
2023,215,SUM,0,0,0,2,2,0,0
2023,291,R,0,0,0,1,1,0,0
2023,291,SUM,0,0,0,1,1,0,0
2023,300,N,0,0,0,7,7,0,0
2023,300,R,0,0,0,89,69,20,0
2023,300,SUM,0,0,0,96,76,20,0
2023,301,N,0,0,0,0,0,0,0
2023,301,R,0,0,0,19,17,2,0
2023,301,SUM,0,0,0,19,17,2,0
2023,310,N,0,0,0,11,7,4,0
2023,310,R,0,0,0,122,60,62,0
2023,310,SUM,0,0,0,133,68,66,0
2023,311,N,0,0,0,5,5,0,0
2023,311,R,0,0,0,23,21,3,0
2023,311,SUM,0,0,0,29,26,3,0
2023,313,N,0,0,0,0,0,0,0
2023,313,R,0,0,0,7,5,2,0
2023,313,SUM,0,0,0,7,5,2,0
2023,317,N,0,0,0,2,2,0,0
2023,317,R,0,0,0,21,17,4,0
2023,317,SUM,0,0,0,22,19,4,0
2023,318,N,0,0,0,2,1,1,0
2023,318,R,0,0,0,38,29,9,0
2023,318,SUM,0,0,0,40,30,10,0
2023,319,N,0,0,0,2,2,0,0
2023,319,R,0,0,0,35,8,27,0
2023,319,SUM,0,0,0,37,10,27,0
2023,320,N,0,0,0,1,0,1,0
2023,320,R,0,0,0,80,53,27,0
2023,320,SUM,0,0,0,81,53,28,0
2023,322,N,0,0,0,47,42,5,0
2023,322,R,0,0,0,385,229,154,2
2023,322,SUM,0,0,0,432,271,159,2
2023,329,N,0,0,0,6,3,3,0
2023,329,R,0,0,0,44,37,7,0
2023,329,SUM,0,0,0,51,40,10,0
2023,338,N,0,0,0,11,9,2,0
2023,338,R,0,0,0,68,50,18,0
2023,338,SUM,0,0,0,79,59,21,0
2023,339,N,0,0,0,3,3,0,0
2023,339,R,0,0,0,41,34,7,0
2023,339,SUM,0,0,0,44,37,7,0
2023,340,N,0,0,0,27,17,10,0
2023,340,R,0,0,0,221,134,82,6
2023,340,SUM,0,0,0,247,150,92,6
2023,350,N,0,0,0,5,2,3,0
2023,350,R,0,0,0,66,37,29,0
2023,350,SUM,0,0,0,70,39,32,0
2023,360,N,0,0,0,16,14,2,0
2023,360,R,0,0,0,144,105,39,0
2023,360,SUM,0,0,0,160,119,41,0
2023,370,N,0,0,0,3,3,0,0
2023,370,R,0,0,0,58,38,18,2
2023,370,SUM,0,0,0,61,41,18,2
2023,371,N,0,0,0,0,0,0,0
2023,371,R,0,0,0,18,12,6,0
2023,371,SUM,0,0,0,18,12,6,0
2023,380,N,0,0,0,1,1,0,0
2023,380,R,0,0,0,28,18,10,0
2023,380,SUM,0,0,0,29,19,10,0
2023,381,R,0,0,0,3,3,0,0
2023,381,SUM,0,0,0,3,3,0,0
2023,388,N,0,0,0,0,0,0,0
2023,388,R,0,0,0,8,7,2,0
2023,388,SUM,0,0,0,8,7,2,0
2023,390,N,0,0,0,4,4,0,0
2023,390,R,0,0,0,45,26,19,0
2023,390,SUM,0,0,0,49,30,19,0
2023,401,N,0,0,0,14,9,4,0
2023,401,R,0,0,0,194,164,29,0
2023,401,SUM,0,0,0,207,174,33,0
2023,404,N,0,0,0,22,20,3,0
2023,404,R,0,0,0,194,141,53,0
2023,404,SUM,0,0,0,216,160,55,0
2023,420,N,0,0,0,9,9,0,0
2023,420,R,0,0,0,24,23,1,0
2023,420,SUM,0,0,0,33,32,1,0
2023,430,N,0,0,0,8,8,0,0
2023,430,R,0,0,0,119,77,42,0
2023,430,SUM,0,0,0,126,84,42,0
2023,440,N,0,0,0,4,3,1,0
2023,440,R,0,0,0,88,55,31,2
2023,440,SUM,0,0,0,91,57,32,2
2023,441,N,0,0,0,0,0,0,0
2023,441,R,0,0,0,9,7,2,0
2023,441,SUM,0,0,0,9,7,2,0
2023,444,N,0,0,0,2,2,0,0
2023,444,R,0,0,0,92,59,31,2
2023,444,SUM,0,0,0,94,60,31,2
2023,450,N,0,0,0,4,4,0,0
2023,450,R,0,0,0,54,31,22,2
2023,450,SUM,0,0,0,58,34,22,2
2023,455,R,0,0,0,2,2,0,0
2023,455,SUM,0,0,0,2,2,0,0
2023,471,N,0,0,0,16,12,4,0
2023,471,R,0,0,0,299,153,138,7
2023,471,SUM,0,0,0,315,165,143,7
2023,480,N,0,0,0,5,5,0,0
2023,480,R,0,0,0,80,65,13,2
2023,480,SUM,0,0,0,85,70,13,2
2023,481,N,0,0,0,13,11,2,0
2023,481,R,0,0,0,44,38,6,0
2023,481,SUM,0,0,0,57,49,8,0
2023,490,N,0,0,0,13,13,0,0
2023,490,R,0,0,0,102,70,28,4
2023,490,SUM,0,0,0,115,83,28,4
2023,506,N,0,0,0,12,9,3,0
2023,506,R,0,0,0,98,67,27,4
2023,506,SUM,0,0,0,110,76,30,4
2023,516,N,0,0,0,48,42,4,2
2023,516,R,0,0,0,347,266,76,6
2023,516,SUM,0,0,0,395,307,80,8
2023,526,N,0,0,0,15,15,0,0
2023,526,R,0,0,0,104,83,22,0
2023,526,SUM,0,0,0,119,97,22,0
2023,536,N,0,0,0,23,21,1,0
2023,536,R,0,0,0,156,142,14,0
2023,536,SUM,0,0,0,178,164,15,0
2023,546,N,0,0,0,30,23,6,0
2023,546,R,0,0,0,174,139,33,3
2023,546,SUM,0,0,0,204,162,39,3
2023,556,N,0,0,0,12,12,0,0
2023,556,R,0,0,0,65,51,14,0
2023,556,SUM,0,0,0,77,64,14,0
2023,560,N,0,0,0,0,0,0,0
2023,560,R,0,0,0,3,0,0,3
2023,560,SUM,0,0,0,3,0,0,3
2023,576,N,0,0,0,77,61,14,2
2023,576,R,0,0,0,573,439,124,9
2023,576,SUM,0,0,0,649,500,138,11
2023,586,N,0,0,0,29,27,2,0
2023,586,R,0,0,0,239,178,58,3
2023,586,SUM,0,0,0,267,205,59,3
2023,596,N,0,0,0,22,18,4,0
2023,596,R,0,0,0,136,85,49,2
2023,596,SUM,0,0,0,158,103,53,2
2023,600,N,0,0,0,15,15,0,0
2023,600,R,0,0,0,170,141,29,0
2023,600,SUM,0,0,0,185,156,29,0
2023,620,N,0,0,0,28,28,0,0
2023,620,R,0,0,0,256,220,33,3
2023,620,SUM,0,0,0,284,248,33,3
2023,630,N,0,0,0,24,21,3,0
2023,630,R,0,0,0,155,122,34,0
2023,630,SUM,0,0,0,179,142,37,0
2023,640,N,0,0,0,7,4,3,0
2023,640,R,0,0,0,71,55,16,0
2023,640,SUM,0,0,0,78,59,19,0
2023,650,N,0,0,0,67,55,11,0
2023,650,R,0,0,0,463,340,122,0
2023,650,SUM,0,0,0,529,396,133,0
2023,670,N,0,0,0,28,23,4,0
2023,670,R,0,0,0,201,167,35,0
2023,670,SUM,0,0,0,229,190,39,0
2023,690,N,0,0,0,20,18,2,0
2023,690,R,0,0,0,196,153,38,4
2023,690,SUM,0,0,0,215,171,40,4
2023,700,N,0,0,0,85,81,4,0
2023,700,R,0,0,0,900,781,119,0
2023,700,SUM,0,0,0,985,862,123,0
2023,701,N,0,0,0,113,92,21,0
2023,701,R,0,0,0,827,705,122,0
2023,701,SUM,0,0,0,939,797,142,0
2023,702,N,0,0,0,22,17,5,0
2023,702,R,0,0,0,224,192,28,3
2023,702,SUM,0,0,0,245,209,33,3
2023,703,N,0,0,0,53,53,0,0
2023,703,R,0,0,0,396,323,72,0
2023,703,SUM,0,0,0,449,376,72,0
2023,704,N,0,0,0,182,150,32,0
2023,704,R,0,0,0,697,468,225,3
2023,704,SUM,0,0,0,879,618,258,3
2023,705,N,0,0,0,351,299,52,0
2023,705,R,0,0,0,987,702,269,15
2023,705,SUM,0,0,0,1337,1001,321,15
2023,Reg_2,R,0,0,0,3,3,0,0
2023,Reg_2,SUM,0,0,0,3,3,0,0
2023,Reg_3,N,0,0,0,152,121,31,0
2023,Reg_3,R,0,0,0,1566,1011,546,10
2023,Reg_3,SUM,0,0,0,1718,1132,576,10
2023,Reg_4,N,0,0,0,109,94,15,0
2023,Reg_4,R,0,0,0,1300,883,397,19
2023,Reg_4,SUM,0,0,0,1408,977,412,19
2023,Reg_5,N,0,0,0,265,228,33,4
2023,Reg_5,R,0,0,0,1895,1450,416,30
2023,Reg_5,SUM,0,0,0,2160,1678,449,34
2023,Reg_6,N,0,0,0,189,166,24,0
2023,Reg_6,R,0,0,0,1512,1199,306,7
2023,Reg_6,SUM,0,0,0,1701,1364,330,7
2023,Reg_7,N,0,0,0,809,691,118,0
2023,Reg_7,R,0,0,0,4117,3231,865,21
2023,Reg_7,SUM,0,0,0,4926,3922,983,21
2023,Reg_X,N,1939,0,0,6,6,0,0
2023,Reg_X,R,15348,0,0,37,31,6,0
2023,Reg_X,SUM,17287,0,0,43,37,6,0
2023,State,N,1939,0,0,1529,1305,220,4
2023,State,R,15348,0,0,10429,7806,2536,87
2023,State,SUM,17287,0,0,11958,9111,2756,91
2023,XXX,N,1939,0,0,0,0,0,0
2023,XXX,R,15348,0,0,0,0,0,0
2023,XXX,SUM,17287,0,0,0,0,0,0
