License Year,Hunting,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bulls,Cows,Calves,Bow,Rifle,Spike Bull Elk,Less than 6 Points,6 or More Points
2024,391S,SUM,826,6632,8,150,60,86,3,16,133,0,37,23
2024,392,N,91,602,7,13,13,0,0,5,8,0,8,5
2024,392,R,1018,7935,8,98,53,42,3,17,81,0,33,20
2024,392,SUM,1109,8538,8,111,66,42,3,22,89,0,41,25
2024,393,N,374,2159,6,162,95,64,3,21,141,0,33,62
2024,393,R,1674,12151,7,428,142,281,6,29,396,0,49,94
2024,393,SUM,2048,14310,7,590,237,345,8,50,537,0,82,155
2024,3XX,N,187,1120,6,41,28,12,0,8,33,0,15,13
2024,3XX,R,267,1634,6,48,18,30,0,0,48,0,9,9
2024,3XX,SUM,453,2754,6,89,47,42,0,8,81,0,25,22
2024,400,N,15,99,7,11,0,11,0,0,11,0,0,0
2024,400,R,187,1232,7,19,6,12,0,0,19,0,3,3
2024,400,SUM,202,1332,7,29,6,23,0,0,29,0,3,3
2024,401,N,60,255,4,26,15,11,0,16,11,0,3,13
2024,401,R,346,2206,6,99,49,50,0,33,66,0,16,34
2024,401,SUM,405,2461,6,125,65,60,0,49,76,0,18,46
2024,403,N,10,74,7,3,0,3,0,3,0,0,0,0
2024,403,R,44,204,5,3,0,3,0,0,3,0,0,0
2024,403,SUM,54,278,5,6,0,6,0,3,3,0,0,0
2024,404,N,31,192,6,5,0,5,0,0,5,0,0,0
2024,404,R,103,521,5,12,6,6,0,3,9,0,3,3
2024,404,SUM,134,713,5,17,6,11,0,3,14,0,3,3
2024,405,N,26,176,7,5,3,3,0,3,3,0,3,0
2024,405,R,75,364,5,9,0,6,3,0,9,0,0,0
2024,405,SUM,101,540,5,14,3,9,3,3,12,0,3,0
2024,406,N,16,96,6,5,3,3,0,0,5,0,0,3
2024,406,R,62,310,5,6,3,3,0,0,6,0,3,0
2024,406,SUM,78,405,5,11,6,6,0,0,11,0,3,3
2024,410,N,165,1309,8,69,40,29,0,45,24,0,5,35
2024,410,R,1167,9888,9,309,169,137,2,127,181,5,31,133
2024,410,SUM,1332,11196,8,378,209,167,2,173,205,5,37,168
2024,411E,N,252,1616,6,87,40,44,3,27,60,0,2,38
2024,411E,R,1129,9055,8,447,180,252,15,82,365,20,27,133
2024,411E,SUM,1381,10671,8,534,220,296,18,108,425,20,29,171
2024,411W,N,145,975,7,50,36,14,0,35,15,0,9,27
2024,411W,R,757,6310,8,305,120,182,3,66,237,12,21,84
2024,411W,SUM,902,7285,8,355,156,196,3,101,252,12,30,111
2024,412,N,124,687,6,52,32,20,0,14,38,2,14,17
2024,412,R,490,3689,8,134,75,56,3,17,117,3,15,56
2024,412,SUM,614,4376,7,186,107,76,3,31,155,5,29,73
2024,413,N,370,2704,7,72,46,24,3,18,51,0,31,15
2024,413,R,1624,12612,8,245,112,121,12,40,202,0,40,73
2024,413,SUM,1994,15316,8,317,158,144,15,58,254,0,70,88
2024,415,N,5,16,3,3,3,0,0,0,3,0,0,3
2024,415,R,129,861,7,9,6,3,0,6,3,0,3,3
2024,415,SUM,134,877,7,12,9,3,0,6,6,0,3,6
2024,416,N,1222,8387,7,326,211,113,3,70,254,3,95,113
2024,416,R,2061,14878,7,293,100,184,9,27,260,3,46,52
2024,416,SUM,3284,23265,7,620,311,297,12,97,514,6,141,165
2024,417,N,92,567,6,30,26,4,0,18,11,0,5,21
2024,417,R,570,4430,8,262,159,103,0,75,187,2,29,128
2024,417,SUM,662,4997,8,292,185,107,0,94,198,2,35,148
2024,418,N,104,738,7,31,13,19,0,13,18,0,3,10
2024,418,R,312,2181,7,83,6,71,6,6,74,0,3,3
2024,418,SUM,416,2919,7,114,19,89,6,19,92,0,6,13
2024,419,N,72,489,7,8,3,6,0,0,8,0,0,3
2024,419,R,175,1053,6,34,15,16,3,3,31,0,6,9
2024,419,SUM,247,1542,6,42,18,21,3,3,39,0,6,12
2024,420,N,57,323,6,21,12,8,0,10,10,0,5,7
2024,420,R,257,2063,8,60,28,28,3,3,57,6,14,8
2024,420,SUM,314,2385,8,80,41,37,3,13,67,6,19,15
2024,421,N,115,669,6,32,26,7,0,9,23,5,8,13
2024,421,R,480,3068,6,135,42,93,0,9,126,0,15,27
2024,421,SUM,596,3737,6,167,68,99,0,18,149,5,23,40
2024,422,N,138,820,6,32,15,17,0,3,30,0,8,8
2024,422,R,602,3559,6,118,46,70,3,3,115,12,15,18
2024,422,SUM,740,4379,6,151,61,87,3,6,145,12,23,26
2024,424,N,40,176,4,10,8,3,0,0,10,0,3,5
2024,424,R,239,1214,5,18,0,15,3,0,18,0,0,0
2024,424,SUM,279,1391,5,29,8,18,3,0,29,0,3,5
2024,425,N,77,497,7,16,8,8,0,3,13,0,5,3
2024,425,R,384,2284,6,61,25,36,0,6,55,3,11,11
2024,425,SUM,461,2781,6,76,32,44,0,9,68,3,16,13
2024,426,N,53,288,5,15,7,8,0,0,15,0,2,5
2024,426,R,266,1818,7,74,50,21,3,14,60,2,6,42
2024,426,SUM,319,2106,7,89,57,29,3,14,75,2,8,47
2024,441,N,46,293,6,10,8,0,3,0,10,0,0,8
2024,441,R,531,3554,7,87,23,65,0,3,84,0,6,17
2024,441,SUM,577,3846,7,98,30,65,3,3,95,0,6,24
2024,442,N,126,835,7,19,8,11,0,5,14,0,3,5
2024,442,R,425,3085,7,39,24,15,0,3,36,0,6,18
2024,442,SUM,550,3920,7,58,32,26,0,8,50,0,9,23
2024,444,N,31,172,6,9,5,4,0,3,6,0,0,5
2024,444,R,144,988,7,9,6,3,0,3,6,0,0,6
2024,444,SUM,175,1159,7,18,11,7,0,6,12,0,0,11
2024,445,N,144,811,6,70,48,21,0,21,49,0,15,33
2024,445,R,704,4389,6,280,99,166,16,37,244,0,32,67
2024,445,SUM,847,5200,6,350,147,187,16,58,293,0,47,100
2024,446,N,353,2267,6,122,75,45,3,26,96,0,36,39
2024,446,R,787,4986,6,277,92,175,9,30,244,3,35,55
2024,446,SUM,1140,7253,6,399,167,220,12,56,340,3,71,93
2024,447,N,155,977,6,51,22,29,0,21,30,0,3,19
2024,447,R,908,6063,7,230,123,103,3,61,169,0,24,99
2024,447,SUM,1063,7041,7,281,146,132,3,82,199,0,27,118
2024,448,N,274,1780,7,44,28,14,3,13,31,0,21,7
2024,448,R,799,5617,7,77,46,26,6,6,71,3,34,9
2024,448,SUM,1072,7397,7,122,73,40,9,19,102,3,54,16
2024,450,N,32,176,6,8,5,3,0,3,5,0,0,5
2024,450,R,326,2055,6,36,18,18,0,0,36,0,9,9
2024,450,SUM,358,2231,6,44,23,21,0,3,41,0,9,14
2024,451,N,52,267,5,18,13,5,0,5,13,0,0,13
2024,451,R,173,1422,8,31,6,25,0,0,31,0,3,3
2024,451,SUM,224,1689,8,49,19,30,0,5,44,0,3,16
2024,452,N,494,3134,6,148,95,50,3,21,128,3,46,46
2024,452,R,855,5441,6,186,46,129,12,12,174,0,24,21
2024,452,SUM,1349,8575,6,334,141,179,15,33,302,3,71,68
2024,455,N,28,210,8,11,6,5,0,3,7,0,3,3
2024,455,R,289,2017,7,138,42,91,4,16,122,3,11,28
2024,455,SUM,317,2227,7,148,48,96,4,19,129,3,14,31
2024,471,N,5,28,6,0,0,0,0,0,0,0,0,0
2024,471,R,94,665,7,9,9,0,0,0,9,0,3,6
2024,471,SUM,99,693,7,9,9,0,0,0,9,0,3,6
2024,4XX,N,83,646,8,21,18,3,0,3,18,0,0,18
2024,4XX,R,114,460,4,6,0,6,0,3,3,0,0,0
2024,4XX,SUM,197,1106,6,27,18,9,0,6,21,0,0,18
2024,502,N,47,358,8,12,7,5,0,0,12,3,0,4
2024,502,R,336,2333,7,46,12,35,0,0,46,0,3,8
2024,502,SUM,384,2691,7,58,18,40,0,0,58,3,3,13
2024,515,N,183,1055,6,58,36,22,0,15,43,0,15,21
2024,515,R,785,5760,7,176,93,82,0,12,164,6,30,57
2024,515,SUM,968,6815,7,234,129,105,0,28,206,6,46,78
2024,525,N,378,2463,7,123,77,46,0,28,95,8,26,44
2024,525,R,1496,11476,8,389,143,246,0,28,358,15,52,76
2024,525,SUM,1874,13939,7,512,220,292,0,56,452,23,78,120
2024,535E,N,206,934,5,102,21,81,0,13,88,0,7,13
2024,535E,R,817,5613,7,221,48,167,6,19,196,6,12,31
2024,535E,SUM,1023,6547,6,323,69,247,6,32,284,6,19,44
2024,535W,N,126,484,4,76,18,58,0,8,68,3,7,9
2024,535W,R,552,4422,8,137,37,97,3,10,127,3,9,25
2024,535W,SUM,678,4906,7,213,55,155,3,18,195,6,15,34
2024,540,N,377,2195,6,122,41,82,0,12,110,3,15,23
2024,540,R,882,7024,8,193,55,128,10,16,177,12,15,27
2024,540,SUM,1259,9219,7,315,95,210,10,28,287,15,31,50
2024,555,N,16,120,8,4,1,3,0,0,4,0,0,1
2024,555,R,202,1677,8,41,13,27,0,3,37,0,3,10
2024,555,SUM,217,1797,8,44,14,30,0,3,41,0,3,11
2024,565,N,5,27,6,0,0,0,0,0,0,0,0,0
2024,565,R,81,427,5,13,3,10,0,3,10,0,0,3
2024,565,SUM,86,454,5,13,3,10,0,3,10,0,0,3
2024,575,N,128,823,6,31,26,5,0,3,29,0,5,21
2024,575,R,863,6696,8,219,76,137,6,9,210,3,33,39
2024,575,SUM,991,7518,8,250,102,142,6,12,238,3,39,60
2024,580N,N,562,3405,6,203,98,103,3,42,162,8,39,51
2024,580N,R,791,5301,7,278,88,182,8,22,254,9,21,58
2024,580N,SUM,1353,8706,6,482,186,285,11,63,415,17,60,109
2024,580S,N,122,643,5,57,23,31,3,18,39,0,10,13
2024,580S,R,355,2854,8,141,57,84,0,21,120,3,21,33
2024,580S,SUM,477,3497,7,198,80,116,3,39,159,3,32,45
2024,590,N,400,2556,6,181,76,102,3,63,118,5,16,55
2024,590,R,2095,16069,8,569,234,332,3,99,468,10,32,189
2024,590,SUM,2494,18625,8,750,310,435,6,162,586,14,48,245
2024,5XX,N,69,415,6,27,7,20,0,2,25,0,7,0
2024,5XX,R,81,703,9,29,7,23,0,3,26,0,0,7
2024,5XX,SUM,149,1118,8,56,14,42,0,5,50,0,7,7
2024,600,N,8,44,6,5,3,3,0,0,5,0,0,3
2024,600,R,146,727,5,9,6,0,3,3,6,0,3,3
2024,600,SUM,154,771,5,14,9,3,3,3,11,0,3,6
2024,620,N,137,1106,8,12,9,4,0,11,2,0,2,7
2024,620,R,567,4923,9,115,82,31,3,69,47,3,30,49
2024,620,SUM,704,6028,9,128,91,34,3,80,48,3,32,56
2024,621,N,103,895,9,10,5,5,0,2,8,0,1,4
2024,621,R,480,3698,8,85,53,32,0,30,54,2,18,33
2024,621,SUM,582,4593,8,94,58,36,0,33,62,2,19,38
2024,622,N,85,630,7,19,17,2,0,11,8,0,5,12
2024,622,R,371,2937,8,82,47,34,2,21,61,0,16,31
2024,622,SUM,455,3566,8,101,64,36,2,32,69,0,21,42
2024,630,N,34,272,8,7,5,2,0,4,3,0,1,4
2024,630,R,239,1895,8,54,25,27,2,12,42,2,4,20
2024,630,SUM,273,2168,8,61,30,29,2,16,45,2,5,23
2024,640,N,5,28,6,0,0,0,0,0,0,0,0,0
2024,640,R,84,420,5,3,0,3,0,0,3,0,0,0
2024,640,SUM,89,449,5,3,0,3,0,0,3,0,0,0
2024,650,N,16,80,5,0,0,0,0,0,0,0,0,0
2024,650,R,83,478,6,14,3,11,0,0,14,0,0,3
2024,650,SUM,98,558,6,14,3,11,0,0,14,0,0,3
2024,670,N,8,36,5,0,0,0,0,0,0,0,0,0
2024,670,R,57,258,5,3,3,0,0,0,3,0,0,3
2024,670,SUM,65,294,5,3,3,0,0,0,3,0,0,3
2024,690,N,66,438,7,26,9,17,0,3,22,0,0,9
2024,690,R,711,4953,7,232,73,156,3,31,201,3,6,64
2024,690,SUM,776,5391,7,257,82,172,3,34,223,3,6,73
2024,6XX,N,6,35,6,3,0,3,0,0,3,0,0,0
2024,6XX,R,7,35,5,3,0,3,0,0,3,0,0,0
2024,6XX,SUM,12,70,6,6,0,6,0,0,6,0,0,0
2024,700,N,220,1363,6,120,50,68,2,35,85,0,9,41
2024,700,R,1537,11741,8,541,244,284,12,119,420,16,49,179
2024,700,SUM,1757,13104,8,660,294,352,14,154,504,16,58,220
2024,701E,N,74,407,6,23,15,8,0,2,21,0,3,12
2024,701E,R,409,2325,6,82,43,36,3,3,79,15,9,18
2024,701E,SUM,483,2732,6,105,57,44,3,5,100,15,12,31
2024,701W,N,40,210,5,11,10,2,0,2,9,0,0,10
2024,701W,R,179,1305,7,61,21,38,3,3,58,3,6,12
2024,701W,SUM,219,1514,7,73,30,39,3,5,67,3,6,21
2024,702,N,85,526,6,43,24,19,0,10,33,3,6,16
2024,702,R,686,4611,7,241,78,154,9,48,190,6,3,69
2024,702,SUM,771,5137,7,284,102,173,9,59,223,9,9,84
2024,703,N,53,461,9,5,0,3,3,0,5,0,0,0
2024,703,R,396,2785,7,57,39,15,3,6,51,0,24,15
2024,703,SUM,449,3246,7,62,39,18,6,6,56,0,24,15
2024,704,N,234,1401,6,105,39,61,5,20,85,8,8,23
2024,704,R,1367,11740,9,429,194,226,9,117,312,18,46,130
2024,704,SUM,1601,13141,8,534,233,287,14,137,398,26,54,153
2024,705,N,191,1237,7,95,31,64,0,31,65,3,0,29
2024,705,R,537,3886,7,108,47,60,0,22,86,2,10,35
2024,705,SUM,727,5123,7,203,79,125,0,52,151,5,10,64
2024,7XX,N,10,53,5,5,2,4,0,0,5,0,0,2
2024,7XX,R,46,378,8,15,9,6,0,9,5,0,3,5
2024,7XX,SUM,56,431,8,20,10,10,0,9,11,0,3,7
2024,Reg_1,N,1094,7499,7,177,159,17,1,46,131,0,98,62
2024,Reg_1,R,12619,128994,10,1124,802,319,3,139,952,3,553,246
2024,Reg_1,SUM,13713,136492,10,1301,961,336,4,186,1084,3,651,307
2024,Reg_2,N,2271,18056,8,480,336,144,0,104,376,0,214,120
2024,Reg_2,R,19464,198651,10,2911,1494,1387,30,406,2459,3,1031,456
2024,Reg_2,SUM,21735,216706,10,3391,1829,1531,30,510,2835,3,1245,576
2024,Reg_3,N,8962,69769,8,2735,1702,1005,28,435,2295,8,947,747
2024,Reg_3,R,37207,362865,10,9060,3604,5215,242,765,8225,208,1999,1388
2024,Reg_3,SUM,46168,432635,9,11795,5306,6220,270,1200,10520,215,2946,2135
2024,Reg_4,N,4654,32748,7,1439,875,545,18,408,1026,12,325,538
2024,Reg_4,R,15668,124539,8,4140,1731,2289,120,695,3428,77,495,1156
2024,Reg_4,SUM,20322,157287,8,5579,2606,2834,139,1103,4454,89,820,1694
2024,Reg_5,N,2515,15476,6,995,430,558,8,204,791,28,148,254
2024,Reg_5,R,8416,70355,8,2452,865,1550,37,246,2191,67,232,563
2024,Reg_5,SUM,10931,85831,8,3447,1294,2107,45,450,2982,95,379,817
2024,Reg_6,N,417,3566,9,81,48,34,0,31,50,0,10,38
2024,Reg_6,R,2522,20389,8,600,292,294,13,166,434,10,76,206
2024,Reg_6,SUM,2939,23955,8,681,340,328,13,197,484,10,86,244
2024,Reg_7,N,877,5658,7,409,170,229,9,100,309,13,26,132
2024,Reg_7,R,4917,38770,8,1533,675,818,40,327,1201,61,151,463
2024,Reg_7,SUM,5794,44428,8,1941,845,1047,49,427,1510,74,176,595
2024,Reg_X,N,165,1063,6,26,23,3,0,5,21,0,18,5
2024,Reg_X,R,309,1918,6,27,9,18,0,0,27,0,3,6
2024,Reg_X,SUM,474,2981,6,53,32,21,0,5,48,0,21,11
2024,State,N,20066,153834,8,6342,3743,2534,64,1333,4998,60,1785,1895
2024,State,R,91903,946480,10,21846,9471,11890,485,2745,18918,429,4539,4485
2024,State,SUM,111969,1100314,10,28188,13213,14425,550,4078,23916,489,6324,6379
2024,XXX,N,165,1063,6,26,23,3,0,5,21,0,18,5
2024,XXX,R,309,1918,6,27,9,18,0,0,27,0,3,6
2024,XXX,SUM,474,2981,6,53,32,21,0,5,48,0,21,11
