License Year,Hunting,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bulls,Cows,Calves
2023,100,R,11,198,19,8,8,0,0
2023,100,SUM,11,198,19,8,8,0,0
2023,101,R,12,301,25,2,2,0,0
2023,101,SUM,12,301,25,2,2,0,0
2023,102,R,6,178,30,6,6,0,0
2023,102,SUM,6,178,30,6,6,0,0
2023,103,N,0,0,0,0,0,0,0
2023,103,R,2,34,17,0,0,0,0
2023,103,SUM,2,34,17,0,0,0,0
2023,104,R,5,53,11,3,3,0,0
2023,104,SUM,5,53,11,3,3,0,0
2023,105,N,1,18,18,1,1,0,0
2023,105,R,11,255,23,6,6,0,0
2023,105,SUM,12,273,23,7,7,0,0
2023,106,R,12,281,23,8,8,0,0
2023,106,SUM,12,281,23,8,8,0,0
2023,110,N,1,3,3,1,1,0,0
2023,110,R,9,175,19,4,4,0,0
2023,110,SUM,10,178,18,5,5,0,0
2023,111,N,0,0,0,0,0,0,0
2023,111,R,9,89,10,6,6,0,0
2023,111,SUM,9,89,10,6,6,0,0
2023,112,R,3,53,18,2,2,0,0
2023,112,SUM,3,53,18,2,2,0,0
2023,121,R,3,9,3,3,3,0,0
2023,121,SUM,3,9,3,3,3,0,0
2023,122,N,1,10,10,1,1,0,0
2023,122,R,3,48,16,3,3,0,0
2023,122,SUM,4,58,15,4,4,0,0
2023,125,N,1,9,9,1,1,0,0
2023,125,R,2,25,13,1,1,0,0
2023,125,SUM,3,34,11,2,2,0,0
2023,126,R,1,5,5,1,1,0,0
2023,126,SUM,1,5,5,1,1,0,0
2023,140,R,2,34,17,2,2,0,0
2023,140,SUM,2,34,17,2,2,0,0
2023,141,R,2,30,15,2,2,0,0
2023,141,SUM,2,30,15,2,2,0,0
2023,150,R,0,0,0,0,0,0,0
2023,150,SUM,0,0,0,0,0,0,0
2023,210,R,4,28,7,3,3,0,0
2023,210,SUM,4,28,7,3,3,0,0
2023,211,R,2,9,5,2,2,0,0
2023,211,SUM,2,9,5,2,2,0,0
2023,213,R,4,57,14,3,3,0,0
2023,213,SUM,4,57,14,3,3,0,0
2023,214,R,0,0,0,0,0,0,0
2023,214,SUM,0,0,0,0,0,0,0
2023,215,R,1,57,57,0,0,0,0
2023,215,SUM,1,57,57,0,0,0,0
2023,220,R,3,59,20,2,2,0,0
2023,220,SUM,3,59,20,2,2,0,0
2023,230,R,4,52,13,1,1,0,0
2023,230,SUM,4,52,13,1,1,0,0
2023,240,R,3,96,32,3,3,0,0
2023,240,SUM,3,96,32,3,3,0,0
2023,261,R,2,41,21,0,0,0,0
2023,261,SUM,2,41,21,0,0,0,0
2023,270,R,3,33,11,3,3,0,0
2023,270,SUM,3,33,11,3,3,0,0
2023,280,R,0,0,0,0,0,0,0
2023,280,SUM,0,0,0,0,0,0,0
2023,285,R,1,30,30,0,0,0,0
2023,285,SUM,1,30,30,0,0,0,0
2023,292,R,1,31,31,1,1,0,0
2023,292,SUM,1,31,31,1,1,0,0
2023,293,R,2,26,13,1,1,0,0
2023,293,SUM,2,26,13,1,1,0,0
2023,300,R,8,107,13,8,6,2,0
2023,300,SUM,8,107,13,8,6,2,0
2023,301,R,6,29,5,4,4,0,0
2023,301,SUM,6,29,5,4,4,0,0
2023,302,R,2,18,9,2,1,1,0
2023,302,SUM,2,18,9,2,1,1,0
2023,303,R,4,44,11,4,3,1,0
2023,303,SUM,4,44,11,4,3,1,0
2023,310,R,0,0,0,0,0,0,0
2023,310,SUM,0,0,0,0,0,0,0
2023,311,R,2,52,26,1,1,0,0
2023,311,SUM,2,52,26,1,1,0,0
2023,312,R,4,93,23,4,4,0,0
2023,312,SUM,4,93,23,4,4,0,0
2023,313,R,6,50,8,6,6,0,0
2023,313,SUM,6,50,8,6,6,0,0
2023,314,R,3,111,37,3,3,0,0
2023,314,SUM,3,111,37,3,3,0,0
2023,319,R,1,60,60,0,0,0,0
2023,319,SUM,1,60,60,0,0,0,0
2023,320,R,7,62,9,7,4,3,0
2023,320,SUM,7,62,9,7,4,3,0
2023,322,R,2,15,8,1,1,0,0
2023,322,SUM,2,15,8,1,1,0,0
2023,323,R,11,126,12,10,4,6,0
2023,323,SUM,11,126,12,10,4,6,0
2023,324,R,5,36,7,4,4,0,0
2023,324,SUM,5,36,7,4,4,0,0
2023,325,R,7,31,4,7,5,2,0
2023,325,SUM,7,31,4,7,5,2,0
2023,326,R,3,25,8,3,3,0,0
2023,326,SUM,3,25,8,3,3,0,0
2023,327,R,4,43,11,2,2,0,0
2023,327,SUM,4,43,11,2,2,0,0
2023,329,R,2,11,6,2,2,0,0
2023,329,SUM,2,11,6,2,2,0,0
2023,330,R,15,204,14,11,7,4,0
2023,330,SUM,15,204,14,11,7,4,0
2023,332,R,14,163,12,11,8,3,0
2023,332,SUM,14,163,12,11,8,3,0
2023,334,N,2,8,4,2,1,1,0
2023,334,R,15,41,3,14,6,6,2
2023,334,SUM,17,49,3,16,7,7,2
2023,335,R,2,50,25,0,0,0,0
2023,335,SUM,2,50,25,0,0,0,0
2023,340,R,6,86,14,5,4,1,0
2023,340,SUM,6,86,14,5,4,1,0
2023,341,N,1,10,10,1,1,0,0
2023,341,R,2,12,6,2,2,0,0
2023,341,SUM,3,22,7,3,3,0,0
2023,343,R,1,10,10,1,1,0,0
2023,343,SUM,1,10,10,1,1,0,0
2023,350,N,1,7,7,1,1,0,0
2023,350,R,1,15,15,1,1,0,0
2023,350,SUM,2,22,11,2,2,0,0
2023,360,N,0,0,0,0,0,0,0
2023,360,R,1,12,12,1,1,0,0
2023,360,SUM,1,12,12,1,1,0,0
2023,361,R,4,72,18,4,4,0,0
2023,361,SUM,4,72,18,4,4,0,0
2023,380,N,0,0,0,0,0,0,0
2023,380,R,7,85,12,7,5,2,0
2023,380,SUM,7,85,12,7,5,2,0
2023,382,R,2,40,20,2,2,0,0
2023,382,SUM,2,40,20,2,2,0,0
2023,390,R,2,31,16,2,2,0,0
2023,390,SUM,2,31,16,2,2,0,0
2023,401,R,2,8,4,2,2,0,0
2023,401,SUM,2,8,4,2,2,0,0
2023,415,R,1,5,5,0,0,0,0
2023,415,SUM,1,5,5,0,0,0,0
2023,422,R,1,3,3,1,1,0,0
2023,422,SUM,1,3,3,1,1,0,0
2023,441,R,1,16,16,1,1,0,0
2023,441,SUM,1,16,16,1,1,0,0
2023,447,R,1,15,15,1,1,0,0
2023,447,SUM,1,15,15,1,1,0,0
2023,494,R,2,6,3,2,2,0,0
2023,494,SUM,2,6,3,2,2,0,0
2023,496,N,0,0,0,0,0,0,0
2023,496,R,3,74,25,2,2,0,0
2023,496,SUM,3,74,25,2,2,0,0
2023,513,R,1,30,30,1,1,0,0
2023,513,SUM,1,30,30,1,1,0,0
2023,514,R,4,25,6,4,4,0,0
2023,514,SUM,4,25,6,4,4,0,0
2023,516,R,2,17,9,2,2,0,0
2023,516,SUM,2,17,9,2,2,0,0
2023,600,R,9,104,12,9,8,2,0
2023,600,SUM,9,104,12,9,8,2,0
2023,Reg_1,N,4,40,10,4,4,0,0
2023,Reg_1,R,93,1768,19,56,56,0,0
2023,Reg_1,SUM,97,1808,19,60,60,0,0
2023,Reg_2,R,30,519,17,19,19,0,0
2023,Reg_2,SUM,30,519,17,19,19,0,0
2023,Reg_3,N,4,25,6,4,3,1,0
2023,Reg_3,R,149,1734,12,129,96,31,2
2023,Reg_3,SUM,153,1759,12,133,99,32,2
2023,Reg_4,R,11,127,12,9,9,0,0
2023,Reg_4,SUM,11,127,12,9,9,0,0
2023,Reg_5,R,7,72,10,7,7,0,0
2023,Reg_5,SUM,7,72,10,7,7,0,0
2023,Reg_6,R,9,104,12,9,8,2,0
2023,Reg_6,SUM,9,104,12,9,8,2,0
2023,State,N,8,65,8,8,7,1,0
2023,State,R,299,4323,15,228,194,33,2
2023,State,SUM,307,4388,14,236,201,34,2
